panel,latent_id,m_base,h_base,mask_category,replicate,light,camera,valid_skin_fraction,mask_hash,appearance_seed,attempt_count,exposure_ev,p_zero,high_clip_element_fraction,low_clip_element_fraction,nonfinite_count,all_zero,all_one,R_zero_fraction,R_one_fraction,G_zero_fraction,G_one_fraction,B_zero_fraction,B_one_fraction,retry_exhausted
A,AM3_M0.90_H0.02_Mild_5,0.9,0.02,Mild,5,A,Canon 300D,0.900177001953125,642b8d87a619d5afdeba7f13523fdeab43c75f1ccb4a529f2efd3619dd8e5045,13159601337911647667,1,0.2758295934099779,False,0.0,0.0,0,False,False,0.0,0.0,0.0,0.0,0.0,0.0,False
A,AM3_M0.90_H0.02_Mild_5,0.9,0.02,Mild,5,FL2,Canon 300D,0.900177001953125,642b8d87a619d5afdeba7f13523fdeab43c75f1ccb4a529f2efd3619dd8e5045,11781556376251406156,1,0.14687961228930613,False,0.0,0.0,0,False,False,0.0,0.0,0.0,0.0,0.0,0.0,False
A,AM3_M0.90_H0.02_Mild_5,0.9,0.02,Mild,5,FL11,Canon 300D,0.900177001953125,642b8d87a619d5afdeba7f13523fdeab43c75f1ccb4a529f2efd3619dd8e5045,12655011645129151261,1,-0.005282033830240118,False,0.0,0.0,0,False,False,0.0,0.0,0.0,0.0,0.0,0.0,False
A,AM3_M0.90_H0.02_Mild_6,0.9,0.02,Mild,6,D65,Canon 300D,0.7739105224609375,6afaacfe9431ffab49faa4ba21c0c1addcbd3c3fc569a770c2ac5f1d184e7ddf,16496419746909576645,1,0.08294956132506481,False,0.0,0.0,0,False,False,0.0,0.0,0.0,0.0,0.0,0.0,False
A,AM3_M0.90_H0.02_Mild_6,0.9,0.02,Mild,6,A,Canon 300D,0.7739105224609375,6afaacfe9431ffab49faa4ba21c0c1addcbd3c3fc569a770c2ac5f1d184e7ddf,1380711292093334560,1,-0.23466111741427004,False,0.0,0.0,0,False,False,0.0,0.0,0.0,0.0,0.0,0.0,False
A,AM3_M0.90_H0.02_Mild_6,0.9,0.02,Mild,6,FL2,Canon 300D,0.7739105224609375,6afaacfe9431ffab49faa4ba21c0c1addcbd3c3fc569a770c2ac5f1d184e7ddf,12443230713602671884,1,-0.1826016136223106,False,0.0,0.0,0,False,False,0.0,0.0,0.0,0.0,0.0,0.0,False
A,AM3_M0.90_H0.02_Mild_6,0.9,0.02,Mild,6,FL11,Canon 300D,0.7739105224609375,6afaacfe9431ffab49faa4ba21c0c1addcbd3c3fc569a770c2ac5f1d184e7ddf,3240795539068896829,1,-0.32269298587720674,False,0.0,0.0,0,False,False,0.0,0.0,0.0,0.0,0.0,0.0,False
A,AM3_M0.90_H0.02_Mild_7,0.9,0.02,Mild,7,D65,Canon 300D,0.7890472412109375,7c61041c48447e50d26482741fbdf321c09137528ee910076fcfcaace7375777,17396366245007328494,1,-0.21413397499153836,False,0.0,0.0,0,False,False,0.0,0.0,0.0,0.0,0.0,0.0,False
A,AM3_M0.90_H0.02_Mild_7,0.9,0.02,Mild,7,A,Canon 300D,0.7890472412109375,7c61041c48447e50d26482741fbdf321c09137528ee910076fcfcaace7375777,18326390451476458790,1,0.13898380699834423,False,0.0,0.0,0,False,False,0.0,0.0,0.0,0.0,0.0,0.0,False
A,AM3_M0.90_H0.02_Mild_7,0.9,0.02,Mild,7,FL2,Canon 300D,0.7890472412109375,7c61041c48447e50d26482741fbdf321c09137528ee910076fcfcaace7375777,8363095274589059032,1,0.08158215080806352,False,0.0,0.0,0,False,False,0.0,0.0,0.0,0.0,0.0,0.0,False
A,AM3_M0.90_H0.02_Mild_7,0.9,0.02,Mild,7,FL11,Canon 300D,0.7890472412109375,7c61041c48447e50d26482741fbdf321c09137528ee910076fcfcaace7375777,4049126100720926299,1,-0.2060363613277556,False,0.0,0.0,0,False,False,0.0,0.0,0.0,0.0,0.0,0.0,False
A,AM3_M0.90_H0.02_Strong_0,0.9,0.02,Strong,0,D65,Canon 300D,0.4972076416015625,9c95c707af8a6720226e1d3b40c8bec659a2ad4b4aae1b0ceed8ba5ed7307562,9482172405371337781,1,0.12326611945321153,False,0.0,0.0,0,False,False,0.0,0.0,0.0,0.0,0.0,0.0,False
A,AM3_M0.90_H0.02_Strong_0,0.9,0.02,Strong,0,A,Canon 300D,0.4972076416015625,9c95c707af8a6720226e1d3b40c8bec659a2ad4b4aae1b0ceed8ba5ed7307562,3683975427147208064,1,0.047072001344220404,False,0.0,0.0,0,False,False,0.0,0.0,0.0,0.0,0.0,0.0,False
A,AM3_M0.90_H0.02_Strong_0,0.9,0.02,Strong,0,FL2,Canon 300D,0.4972076416015625,9c95c707af8a6720226e1d3b40c8bec659a2ad4b4aae1b0ceed8ba5ed7307562,13931600837474180929,1,-0.1598450490058801,False,0.0,0.0,0,False,False,0.0,0.0,0.0,0.0,0.0,0.0,False
A,AM3_M0.90_H0.02_Strong_0,0.9,0.02,Strong,0,FL11,Canon 300D,0.4972076416015625,9c95c707af8a6720226e1d3b40c8bec659a2ad4b4aae1b0ceed8ba5ed7307562,564888798673526695,1,-0.27362335866482834,False,0.0,0.0,0,False,False,0.0,0.0,0.0,0.0,0.0,0.0,False
A,AM3_M0.90_H0.02_Strong_1,0.9,0.02,Strong,1,D65,Canon 300D,0.6162567138671875,7611c6d3f89cf12e1e2fa172b9403945b916b5561232e60de86b40b33e562cff,13728796106761806246,1,-0.18213197248741225,False,0.0,0.0,0,False,False,0.0,0.0,0.0,0.0,0.0,0.0,False
A,AM3_M0.90_H0.02_Strong_1,0.9,0.02,Strong,1,A,Canon 300D,0.6162567138671875,7611c6d3f89cf12e1e2fa172b9403945b916b5561232e60de86b40b33e562cff,3138359616626849817,1,-0.4011488561299898,False,0.0,0.0,0,False,False,0.0,0.0,0.0,0.0,0.0,0.0,False
A,AM3_M0.90_H0.02_Strong_1,0.9,0.02,Strong,1,FL2,Canon 300D,0.6162567138671875,7611c6d3f89cf12e1e2fa172b9403945b916b5561232e60de86b40b33e562cff,17777276537353914971,1,0.202189349688363,False,0.0,0.0,0,False,False,0.0,0.0,0.0,0.0,0.0,0.0,False
A,AM3_M0.90_H0.02_Strong_1,0.9,0.02,Strong,1,FL11,Canon 300D,0.6162567138671875,7611c6d3f89cf12e1e2fa172b9403945b916b5561232e60de86b40b33e562cff,2313182578571481049,1,0.1231052551861892,False,0.0,0.0,0,False,False,0.0,0.0,0.0,0.0,0.0,0.0,False
A,AM3_M0.90_H0.02_Strong_2,0.9,0.02,Strong,2,D65,Canon 300D,0.542510986328125,34cb67cfee745add68ca4b698146c0704a0f814895475858fc705ed6fa8a9555,7514656831956703625,1,-0.23156022821347466,False,0.0,0.0,0,False,False,0.0,0.0,0.0,0.0,0.0,0.0,False
A,AM3_M0.90_H0.02_Strong_2,0.9,0.02,Strong,2,A,Canon 300D,0.542510986328125,34cb67cfee745add68ca4b698146c0704a0f814895475858fc705ed6fa8a9555,1585798591027103624,1,-0.124759099031366,False,0.0,0.0,0,False,False,0.0,0.0,0.0,0.0,0.0,0.0,False
A,AM3_M0.90_H0.02_Strong_2,0.9,0.02,Strong,2,FL2,Canon 300D,0.542510986328125,34cb67cfee745add68ca4b698146c0704a0f814895475858fc705ed6fa8a9555,8592494397412184873,1,0.10744231129170512,False,0.0,0.0,0,False,False,0.0,0.0,0.0,0.0,0.0,0.0,False
A,AM3_M0.90_H0.02_Strong_2,0.9,0.02,Strong,2,FL11,Canon 300D,0.542510986328125,34cb67cfee745add68ca4b698146c0704a0f814895475858fc705ed6fa8a9555,17774594723776786333,1,-0.34129214936789365,False,0.0,0.0,0,False,False,0.0,0.0,0.0,0.0,0.0,0.0,False
A,AM3_M0.90_H0.02_Strong_3,0.9,0.02,Strong,3,D65,Canon 300D,0.4360504150390625,45db6bd2f588e5898937ba58e4bc2e9c39695cdfe31e1a0a257aaca57b550100,15952010179619509739,1,0.1669237421774067,False,0.0,0.0,0,False,False,0.0,0.0,0.0,0.0,0.0,0.0,False
A,AM3_M0.90_H0.02_Strong_3,0.9,0.02,Strong,3,A,Canon 300D,0.4360504150390625,45db6bd2f588e5898937ba58e4bc2e9c39695cdfe31e1a0a257aaca57b550100,460654525009536442,1,-0.39016316390891126,False,0.0,0.0,0,False,False,0.0,0.0,0.0,0.0,0.0,0.0,False
A,AM3_M0.90_H0.02_Strong_3,0.9,0.02,Strong,3,FL2,Canon 300D,0.4360504150390625,45db6bd2f588e5898937ba58e4bc2e9c39695cdfe31e1a0a257aaca57b550100,13864946009685321756,1,-0.07710000972281272,False,0.0,0.0,0,False,False,0.0,0.0,0.0,0.0,0.0,0.0,False
A,AM3_M0.90_H0.02_Strong_3,0.9,0.02,Strong,3,FL11,Canon 300D,0.4360504150390625,45db6bd2f588e5898937ba58e4bc2e9c39695cdfe31e1a0a257aaca57b550100,1938137943276929383,1,0.09369427685351439,False,0.0,0.0,0,False,False,0.0,0.0,0.0,0.0,0.0,0.0,False
A,AM3_M0.90_H0.02_Strong_4,0.9,0.02,Strong,4,D65,Canon 300D,0.4163818359375,3654b470cb8c63aa83179e3b4578306cd9c839cba293292dc9fc16278cd1306d,12282970942114519426,1,-0.11206215456996643,False,0.0,0.0,0,False,False,0.0,0.0,0.0,0.0,0.0,0.0,False
A,AM3_M0.90_H0.02_Strong_4,0.9,0.02,Strong,4,A,Canon 300D,0.4163818359375,3654b470cb8c63aa83179e3b4578306cd9c839cba293292dc9fc16278cd1306d,11708074204217077198,1,0.050321372073176884,False,0.0,0.0,0,False,False,0.0,0.0,0.0,0.0,0.0,0.0,False
A,AM3_M0.90_H0.02_Strong_4,0.9,0.02,Strong,4,FL2,Canon 300D,0.4163818359375,3654b470cb8c63aa83179e3b4578306cd9c839cba293292dc9fc16278cd1306d,14101744012146746315,1,0.024563701260279514,False,0.0,0.0,0,False,False,0.0,0.0,0.0,0.0,0.0,0.0,False
A,AM3_M0.90_H0.02_Strong_4,0.9,0.02,Strong,4,FL11,Canon 300D,0.4163818359375,3654b470cb8c63aa83179e3b4578306cd9c839cba293292dc9fc16278cd1306d,3099566895006001419,1,-0.0846231741767891,False,0.0,0.0,0,False,False,0.0,0.0,0.0,0.0,0.0,0.0,False
A,AM3_M0.90_H0.02_Strong_5,0.9,0.02,Strong,5,D65,Canon 300D,0.51800537109375,cea300182979ae5dcd91fbcd2959d50f10972f4d21911c4c42f293dde74ee30d,2272876355639600071,1,-0.2811557976354002,False,0.0,0.0,0,False,False,0.0,0.0,0.0,0.0,0.0,0.0,False
