high_clip_element_fraction,low_clip_element_fraction,nonfinite_count,all_zero,all_one,R_zero_fraction,R_one_fraction,G_zero_fraction,G_one_fraction,B_zero_fraction,B_one_fraction,attempt,appearance_seed,exposure_ev,S_mean,P_mean,P_max
0.0,0.16568791946308725,0,False,False,0.0,0.0,0.0,0.0,0.49656040268456375,0.0,30,16942224641098778725,-0.48823327647737896,1.0,0.00028833982651121914,0.03805071860551834
0.0,0.15604026845637584,0,False,False,0.0,0.0,0.0,0.0,0.46765939597315437,0.0,31,11181638425167905198,-0.31813555360770956,1.0,0.0005445950082503259,0.06829479336738586
0.0,0.15343959731543624,0,False,False,0.0,0.0,0.0,0.0,0.45998322147651005,0.0,32,14930677185077064047,-0.2383958064487106,1.0,0.00020673932158388197,0.04932688549160957
0.0,0.15369127516778525,0,False,False,0.0,0.0,0.0,0.0,0.4606543624161074,0.0,33,3774146228069263576,0.1318418567832711,1.0,5.069367034593597e-05,0.02133043110370636
0.0,0.15454418344519016,0,False,False,0.0,0.0,0.0,0.0,0.4630453020134228,0.0,34,8015107989491938010,-0.43516655961123296,1.0,0.0005682807532139122,0.05616186931729317
0.0,0.1474692393736018,0,False,False,0.0,0.0,0.0,0.0,0.4419463087248322,0.0,35,1115062340158803497,0.017481410872618675,1.0,0.00040248839650303125,0.0727296695113182
0.0,0.11096196868008948,0,False,False,0.0,0.0,0.0,0.0,0.3327181208053691,0.0,36,17670975469201768739,-0.041833325135190724,1.0,0.0004773920518346131,0.04266371577978134
0.0,0.16747762863534676,0,False,False,0.0,0.0,0.0,0.0,0.5019714765100671,0.0,37,7952195536723605435,-0.1671876303883998,1.0,0.0,0.0
0.0,0.16744966442953022,0,False,False,0.0,0.0,0.0,0.0,0.5019714765100671,0.0,38,4955147964733725063,-0.10106712263083689,1.0,0.0,0.0
0.0,0.1338646532438479,0,False,False,0.0,0.0,0.0,0.0,0.4010486577181208,0.0,39,16934629714392245783,-0.37058650777047397,1.0,0.0005347857950255275,0.07816403359174728
0.0,0.14572147651006712,0,False,False,0.0,0.0,0.0,0.0,0.4368288590604027,0.0,40,7568285050426459435,0.2969174420437305,1.0,0.0002335682511329651,0.03868262842297554
0.0,0.12294463087248322,0,False,False,0.0,0.0,0.0,0.0,0.36845637583892615,0.0,41,2567798637735432566,0.19072077012375754,1.0,0.00039131275843828917,0.029959332197904587
0.0,0.15620805369127516,0,False,False,0.0,0.0,0.0,0.0,0.4681627516778524,0.0,42,2024689684974700448,-0.2379341991235659,0.9999999403953552,0.0013271623756736517,0.07215850800275803
