variant,fold,split_role,scale,feature,total_n,valid_n,missing_n,statistic_population,mean,std_ddof0,min,median,q1,q3,max,nonfinite,unavailable_filled_zero_n
o_stage2b,3,val,raw,calibrated_nn_cheek_mean_log2_rg,100,100,0,all_cases,0.96318650594799704,0.1315041811696348,0.55764400762459521,0.96108799785751198,0.88783736078819064,1.0684858450298451,1.2807270580239836,0,0
o_stage2b,3,val,standardized_model_input,calibrated_nn_cheek_mean_log2_rg,100,100,0,all_cases,-0.064108062809057204,1.011991038489491,-3.1849622469092305,-0.080257141590279898,-0.64395776022061924,0.74622349138111721,2.3795267341969644,0,0
o_stage2b,3,val,raw,calibrated_nn_cheek_mean_log2_bg,100,100,0,all_cases,-0.569715266255163,0.1320958755392663,-0.94314093951432798,-0.55426174656062921,-0.65916013217895475,-0.4799529849399774,-0.27441061620808421,0,0
o_stage2b,3,val,standardized_model_input,calibrated_nn_cheek_mean_log2_bg,100,100,0,all_cases,0.1445639436531721,1.0358353372270439,-2.7836691038250003,0.2657433651815449,-0.55682171641505507,0.84843862979918605,2.4602077176732271,0,0
o_stage2b,3,val,raw,calibrated_nn_forehead_minus_cheek_log2_y,100,99,1,available_only,-0.0422181165310304,0.38784262698757721,-1.3429617276707031,-0.045763256651674002,-0.2319714567864995,0.1480897280408372,1.2019662576955634,0,0
o_stage2b,3,val,standardized_model_input,calibrated_nn_forehead_minus_cheek_log2_y,100,99,0,available_only,-0.1369174344904526,1.2720699374583746,-4.4031757798497484,-0.14854500159563491,-0.75928203001239813,0.4872658581575931,3.9438344709977602,0,1
o_stage2b,3,val,raw,calibrated_nn_forehead_minus_cheek_log2_rg,100,99,1,available_only,-0.0497097496064932,0.11030270804308751,-0.29493425849225541,-0.0485320733743543,-0.1178948837541712,0.035280605032046199,0.2014736587012769,0,0
o_stage2b,3,val,standardized_model_input,calibrated_nn_forehead_minus_cheek_log2_rg,100,99,0,available_only,0.064434043600488697,0.9974430652937456,-2.1530771142635667,0.075083510070970305,-0.55214908856665723,0.83298307884223843,2.3358302149035888,0,1
o_stage2b,3,val,raw,calibrated_nn_forehead_minus_cheek_log2_bg,100,99,1,available_only,-0.15015452993777059,0.1126831973359244,-0.44931620377112302,-0.1488542648249252,-0.22760185967344901,-0.079147172478107097,0.104224202043881,0,0
o_stage2b,3,val,standardized_model_input,calibrated_nn_forehead_minus_cheek_log2_bg,100,99,0,available_only,-0.1062568604174664,1.0341598516680508,-2.8518391615120775,-0.0943235641672662,-0.81703647020052572,0.5454193432574419,2.2283260938575014,0,1
o_stage2b,3,val,raw,forehead_available,100,100,0,all_cases,0.98999999999999999,0.099498743710661905,0,1,1,1,1,0,0
o_stage2b,3,val,standardized_model_input,forehead_available,100,100,0,all_cases,0.98999999999999999,0.099498743710661905,0,1,1,1,1,0,0
o_mask,4,train,raw,forehead_available,400,400,0,all_cases,0.97250000000000003,0.16353516441426291,0,1,1,1,1,0,0
o_mask,4,train,standardized_model_input,forehead_available,400,400,0,all_cases,0.97250000000000003,0.16353516441426291,0,1,1,1,1,0,0
o_mask,4,val,raw,forehead_available,100,100,0,all_cases,0.96999999999999997,0.1705872210923198,0,1,1,1,1,0,0
o_mask,4,val,standardized_model_input,forehead_available,100,100,0,all_cases,0.96999999999999997,0.1705872210923198,0,1,1,1,1,0,0
o_raw,4,train,raw,cheek_mean_log2_y,400,400,0,all_cases,-1.9392268665250465,0.4161295768739518,-3.2793321559869275,-1.8334781718320297,-2.1966524211461147,-1.6246572915228985,-0.98864904885959803,0,0
o_raw,4,train,standardized_model_input,cheek_mean_log2_y,400,400,0,all_cases,-2.6645352591003762e-17,0.99999999999999978,-3.2204038451893249,0.25412443760287717,-0.6186187402368768,0.75594140018899147,2.2843313008567621,0,0
o_raw,4,train,raw,cheek_mean_log2_rg,400,400,0,all_cases,0.95986713570525439,0.144892441281189,0.38897690337880753,0.95550662106342399,0.86784791866795852,1.0597036394240671,1.4194929144350832,0,0
o_raw,4,train,standardized_model_input,cheek_mean_log2_rg,400,400,0,all_cases,-1.687538997430238e-16,0.99999999999999978,-3.9400967178027928,-0.030094838649092601,-0.63508638700287101,0.68903872994356097,3.1721860344518911,0,0
o_raw,4,train,raw,cheek_mean_log2_bg,400,400,0,all_cases,-0.58739709853204691,0.13756180333055679,-0.99086164140997079,-0.58286565648361721,-0.68012359210727724,-0.49434614890303841,-0.2061282866387571,0,0
o_raw,4,train,standardized_model_input,cheek_mean_log2_bg,400,400,0,all_cases,-7.9936057773011268e-17,1,-2.9329692771503648,0.032941135829259102,-0.67407151789375241,0.67643013813514674,2.771618302917362,0,0
o_raw,4,train,raw,forehead_minus_cheek_log2_y,400,389,11,available_only,-6.2163783743860834e-05,0.32596814023889681,-1.6423573811402985,0.016307426036046398,-0.16866996982874721,0.19344609535412891,1.2722628297120335,0,0
o_raw,4,train,standardized_model_input,forehead_minus_cheek_log2_y,400,389,0,available_only,9.1329400483303375e-18,0.99999999999999956,-5.0382077713268014,0.050218373512801999,-0.51725240976444331,0.59364163318554297,3.9032188623198296,0,11
o_raw,4,train,raw,forehead_minus_cheek_log2_rg,400,389,11,available_only,-0.051823927923720002,0.1138200147246296,-0.4940569609269917,-0.042660193577422401,-0.12267431280071971,0.017393144256229998,0.3962370708623289,0,0
o_raw,4,train,standardized_model_input,forehead_minus_cheek_log2_rg,400,389,0,available_only,3.6531760193321344e-17,1,-3.8853714267493968,0.080510746448838003,-0.62247738280838805,0.60812742246968088,3.9365747743932822,0,11
o_raw,4,train,raw,forehead_minus_cheek_log2_bg,400,389,11,available_only,-0.14056340493568159,0.1161455965606471,-0.47718516201279931,-0.1395112987907153,-0.22680224908308261,-0.053798829391667302,0.1978571372089537,0,0
o_raw,4,train,standardized_model_input,forehead_minus_cheek_log2_bg,400,389,0,available_only,3.6531760193321344e-17,1,-2.8982739513619493,0.0090585108357250001,-0.74250636013023641,0.74703284595648844,2.9137612803764288,0,11
o_raw,4,train,raw,forehead_available,400,400,0,all_cases,0.97250000000000003,0.16353516441426291,0,1,1,1,1,0,0
