variant,class_index,class_name,feature,is_intercept,fold_count,coefficient_mean,coefficient_std_ddof1,coefficient_median,coefficient_min,coefficient_max,mean_abs_coefficient,positive_fold_count,negative_fold_count,zero_fold_count,sign_consistency_fraction
o_stage2b,1,mild,__intercept__,True,5,-0.22599512194466315,0.21865861700260009,-0.22007838912358191,-0.44467293318198919,0.1145544049284503,0.27181688391604331,1,4,0,0.80000000000000004
o_stage2b,1,mild,calibrated_nn_cheek_mean_log2_y,False,5,0.045125040121650653,0.034625189587831388,0.054913118803673,-0.014289784711388301,0.072955376808572295,0.050840954006205974,4,1,0,0.80000000000000004
o_stage2b,1,mild,calibrated_nn_cheek_mean_log2_rg,False,5,0.037046013494975008,0.051650003857933259,0.036046773549649101,-0.020794162480702101,0.11415504416649511,0.045363678487255844,4,1,0,0.80000000000000004
o_stage2b,1,mild,calibrated_nn_cheek_mean_log2_bg,False,5,0.072957754757495621,0.029934903054420262,0.077550001750762501,0.038424534099552099,0.11532351137125239,0.072957754757495621,5,0,0,1
o_stage2b,1,mild,calibrated_nn_forehead_minus_cheek_log2_y,False,5,0.16072037638738335,0.040065276760115218,0.15896998441171059,0.1153596834530642,0.2163980300383162,0.16072037638738335,5,0,0,1
o_stage2b,1,mild,calibrated_nn_forehead_minus_cheek_log2_rg,False,5,0.258980896073988,0.065443033375854304,0.2364781229900883,0.1756684840280246,0.32900553762955981,0.258980896073988,5,0,0,1
o_stage2b,1,mild,calibrated_nn_forehead_minus_cheek_log2_bg,False,5,0.071230015779981809,0.053742204661199833,0.061798182927944201,0.022925730065041099,0.15478762188898851,0.071230015779981809,5,0,0,1
o_stage2b,1,mild,forehead_available,False,5,0.24094167169653971,0.22376861801585987,0.2327380456365386,-0.1069041754350506,0.46276170064032057,0.28370334187055996,4,1,0,0.80000000000000004
o_stage2b,2,severe,__intercept__,True,5,-0.52535973812116321,0.30748308404023844,-0.39251675222494348,-1.0622147744851882,-0.30424710141864159,0.52535973812116321,0,5,0,1
o_stage2b,2,severe,calibrated_nn_cheek_mean_log2_y,False,5,-0.015553397197395097,0.042482912780421773,-0.0064468098309758996,-0.082872279209366698,0.033538419440977699,0.028968764973786181,1,4,0,0.80000000000000004
o_stage2b,2,severe,calibrated_nn_cheek_mean_log2_rg,False,5,-0.10726905407414537,0.041175051224385063,-0.097787580930074905,-0.1554912555692215,-0.057511188102501602,0.10726905407414537,0,5,0,1
o_stage2b,2,severe,calibrated_nn_cheek_mean_log2_bg,False,5,-0.072518336245695425,0.032141443350376359,-0.071352837251500198,-0.1110022761090101,-0.032142177668221798,0.072518336245695425,0,5,0,1
o_stage2b,2,severe,calibrated_nn_forehead_minus_cheek_log2_y,False,5,-0.065603032452899959,0.057332372911650192,-0.0768847844316361,-0.13394485394444339,0.0110003218776604,0.070003161203964118,1,4,0,0.80000000000000004
o_stage2b,2,severe,calibrated_nn_forehead_minus_cheek_log2_rg,False,5,-0.1747017521524617,0.12307576305367701,-0.19005355791133099,-0.27820237133081838,0.025246443916898099,0.18480032971922095,1,4,0,0.80000000000000004
o_stage2b,2,severe,calibrated_nn_forehead_minus_cheek_log2_bg,False,5,-0.080566172293566579,0.0887933181902653,-0.12118258787470559,-0.1695526030337649,0.043781875891149402,0.098078922650026337,1,4,0,0.80000000000000004
o_stage2b,2,severe,forehead_available,False,5,0.54304346855730845,0.31132227462965817,0.40846439401539791,0.3065611443531267,1.0849015239416089,0.54304346855730845,5,0,0,1
