trainability_strategy,label_smoothing_alpha,loss,source_experiment_dir,source_config,input_height,input_width,backbone,input_view,model_display_name,model_id,fold,best_epoch,macro_auc,balanced_accuracy,macro_f1,sensitivity,specificity
full_finetune,0.05,weighted_ce_label_smoothing,experiments\500Data\R3DPR_ResNet50_ControlVsPatient_Binary_224x224_manual_shift_lip_roi_fullbaseline_ls005_5fold,config\train\R3DPR\r3dpr_resnet50_binary_224x224_manual_shift_lip_roi_fullbaseline_ls005_5fold.yaml,224,224,resnet50,lip_roi,Lip ROI ResNet50,lip_roi_resnet50,1,1,0.8125352907961604,0.6699604743083004,0.662116502230031,0.8181818181818182,0.5217391304347826
full_finetune,0.05,weighted_ce_label_smoothing,experiments\500Data\R3DPR_ResNet50_ControlVsPatient_Binary_224x224_manual_shift_lip_roi_fullbaseline_ls005_5fold,config\train\R3DPR\r3dpr_resnet50_binary_224x224_manual_shift_lip_roi_fullbaseline_ls005_5fold.yaml,224,224,resnet50,lip_roi,Lip ROI ResNet50,lip_roi_resnet50,2,19,0.84472049689441,0.7024280067758328,0.7086247086247086,0.8831168831168831,0.5217391304347826
full_finetune,0.05,weighted_ce_label_smoothing,experiments\500Data\R3DPR_ResNet50_ControlVsPatient_Binary_224x224_manual_shift_lip_roi_fullbaseline_ls005_5fold,config\train\R3DPR\r3dpr_resnet50_binary_224x224_manual_shift_lip_roi_fullbaseline_ls005_5fold.yaml,224,224,resnet50,lip_roi,Lip ROI ResNet50,lip_roi_resnet50,3,6,0.8170525127046866,0.6753246753246753,0.4991987179487179,0.3506493506493506,1.0
full_finetune,0.05,weighted_ce_label_smoothing,experiments\500Data\R3DPR_ResNet50_ControlVsPatient_Binary_224x224_manual_shift_lip_roi_fullbaseline_ls005_5fold,config\train\R3DPR\r3dpr_resnet50_binary_224x224_manual_shift_lip_roi_fullbaseline_ls005_5fold.yaml,224,224,resnet50,lip_roi,Lip ROI ResNet50,lip_roi_resnet50,4,3,0.7515527950310559,0.6877470355731226,0.6212121212121212,0.6363636363636364,0.7391304347826086
full_finetune,0.05,weighted_ce_label_smoothing,experiments\500Data\R3DPR_ResNet18_ControlVsPatient_Binary_256x320_v2_relight_neutral_front_fullbaseline_ls005_5fold,config\train\R3DPR\r3dpr_resnet18_binary_256x320_relight_neutral_front_fullbaseline_ls005_5fold.yaml,320,256,resnet18,whole_face_sh93,Whole-face SH93 ResNet18,whole_face_sh93_resnet18,0,5,0.8232636928289102,0.7309429700734049,0.6932891669733775,0.7662337662337663,0.6956521739130435
full_finetune,0.05,weighted_ce_label_smoothing,experiments\500Data\R3DPR_ResNet18_ControlVsPatient_Binary_256x320_v2_relight_neutral_front_fullbaseline_ls005_5fold,config\train\R3DPR\r3dpr_resnet18_binary_256x320_relight_neutral_front_fullbaseline_ls005_5fold.yaml,320,256,resnet18,whole_face_sh93,Whole-face SH93 ResNet18,whole_face_sh93_resnet18,1,2,0.810841332580463,0.7069452286843592,0.6881496881496881,0.8051948051948052,0.6086956521739131
full_finetune,0.05,weighted_ce_label_smoothing,experiments\500Data\R3DPR_ResNet18_ControlVsPatient_Binary_256x320_v2_relight_neutral_front_fullbaseline_ls005_5fold,config\train\R3DPR\r3dpr_resnet18_binary_256x320_relight_neutral_front_fullbaseline_ls005_5fold.yaml,320,256,resnet18,whole_face_sh93,Whole-face SH93 ResNet18,whole_face_sh93_resnet18,2,2,0.8814229249011858,0.7588932806324111,0.7668997668997669,0.9090909090909092,0.6086956521739131
full_finetune,0.05,weighted_ce_label_smoothing,experiments\500Data\R3DPR_ResNet18_ControlVsPatient_Binary_256x320_v2_relight_neutral_front_fullbaseline_ls005_5fold,config\train\R3DPR\r3dpr_resnet18_binary_256x320_relight_neutral_front_fullbaseline_ls005_5fold.yaml,320,256,resnet18,whole_face_sh93,Whole-face SH93 ResNet18,whole_face_sh93_resnet18,3,5,0.8486730660643703,0.7874082439299831,0.7423629002576371,0.7922077922077922,0.782608695652174
full_finetune,0.05,weighted_ce_label_smoothing,experiments\500Data\R3DPR_ResNet18_ControlVsPatient_Binary_256x320_v2_relight_neutral_front_fullbaseline_ls005_5fold,config\train\R3DPR\r3dpr_resnet18_binary_256x320_relight_neutral_front_fullbaseline_ls005_5fold.yaml,320,256,resnet18,whole_face_sh93,Whole-face SH93 ResNet18,whole_face_sh93_resnet18,4,1,0.8136645962732919,0.7224731789949181,0.6521153630344518,0.6623376623376623,0.782608695652174
full_finetune,0.05,weighted_ce_label_smoothing,experiments\500Data\R3DPR_ResNet34_ControlVsPatient_Binary_256x320_v2_relight_neutral_front_fullbaseline_ls005_5fold,config\train\R3DPR\r3dpr_resnet34_binary_256x320_relight_neutral_front_fullbaseline_ls005_5fold.yaml,320,256,resnet34,whole_face_sh93,Whole-face SH93 ResNet34,whole_face_sh93_resnet34,0,10,0.7752682100508188,0.7137210615471485,0.6553308823529411,0.6883116883116883,0.7391304347826086
