camera_name,light_name,latent_id,exposure_ev,appearance_id,overall_low_clip_fraction,overall_high_clip_fraction,nonfinite_count,all_zero_fraction,all_one_fraction,original_sample_id,variable_isolation,channel,pre_min,pre_p01,pre_p05,pre_median,pre_p95,pre_max,pre_mean,pre_std,pre_negative_fraction,pre_le_minus_1e6_fraction,pre_gt_one_fraction,post_exact_zero_fraction,post_le_1e6_fraction,post_exact_one_fraction,post_ge_1me6_fraction,post_mean,post_std,post_min,post_max
Canon 20D,FL2,L031,-0.1368097167441055,appearance1,0.0,0.0,0,0.0,0.0,L031_A3,camera_only,B,0.02309195138514042,0.026168835610151292,0.03133840784430504,0.04210150986909866,0.05349939316511154,0.23104578256607056,0.04410061612725258,0.017635375261306763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04410061612725258,0.017635375261306763,0.02309195138514042,0.23104578256607056
Canon 300D,FL2,L031,-0.1368097167441055,appearance1,0.0,0.0,0,0.0,0.0,L031_A3,camera_only,R,0.3288094401359558,0.3362850725650787,0.35379558801651,0.40189215540885925,0.4391257703304291,0.47356659173965454,0.39920926094055176,0.02622072957456112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39920926094055176,0.02622072957456112,0.3288094401359558,0.47356659173965454
Canon 300D,FL2,L031,-0.1368097167441055,appearance1,0.0,0.0,0,0.0,0.0,L031_A3,camera_only,G,0.19486641883850098,0.2006076455116272,0.21334846913814545,0.24591495096683502,0.27018930912017824,0.32820671796798706,0.2442053258419037,0.018293604254722595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2442053258419037,0.018293604254722595,0.19486641883850098,0.32820671796798706
Canon 300D,FL2,L031,-0.1368097167441055,appearance1,0.0,0.0,0,0.0,0.0,L031_A3,camera_only,B,0.007494080811738968,0.009700327515602111,0.012171741016209126,0.018208468332886696,0.02535001747310162,0.22851422429084778,0.021063946187496185,0.019265584647655487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021063946187496185,0.019265584647655487,0.007494080811738968,0.22851422429084778
Nikon D3X,FL2,L039,0.0815447376292295,appearance0,0.0,0.0,0,0.0,0.0,L039_A0,camera_only,R,0.3732108771800995,0.3806097787618637,0.3916521281003952,0.4320688545703888,0.4627046972513199,0.48402535915374756,0.43076786398887634,0.022871263325214386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43076786398887634,0.022871263325214386,0.3732108771800995,0.48402535915374756
Nikon D3X,FL2,L039,0.0815447376292295,appearance0,0.0,0.0,0,0.0,0.0,L039_A0,camera_only,G,0.2221049666404724,0.2273980486392975,0.23342626094818114,0.2607458233833313,0.28239316046237944,0.32316842675209045,0.25979480147361755,0.015773437917232513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25979480147361755,0.015773437917232513,0.2221049666404724,0.32316842675209045
Nikon D3X,FL2,L039,0.0815447376292295,appearance0,0.0,0.0,0,0.0,0.0,L039_A0,camera_only,B,0.011041966266930103,0.012114685978740453,0.013434355147182941,0.01770111545920372,0.02712030801922083,0.20608115196228027,0.020851850509643555,0.017161179333925247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020851850509643555,0.017161179333925247,0.011041966266930103,0.20608115196228027
Canon 20D,FL2,L039,0.0815447376292295,appearance0,0.0,0.0,0,0.0,0.0,L039_A0,camera_only,R,0.3729720115661621,0.3803939813375473,0.39143993556499485,0.4318414330482483,0.46247156858444216,0.4837542474269867,0.43055376410484314,0.02285582199692726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43055376410484314,0.02285582199692726,0.3729720115661621,0.4837542474269867
Canon 20D,FL2,L039,0.0815447376292295,appearance0,0.0,0.0,0,0.0,0.0,L039_A0,camera_only,G,0.22109884023666382,0.22641985803842546,0.23240166306495666,0.259645938873291,0.2812338441610336,0.3224993050098419,0.258680135011673,0.015741556882858276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.258680135011673,0.015741556882858276,0.22109884023666382,0.3224993050098419
Canon 20D,FL2,L039,0.0815447376292295,appearance0,0.0,0.0,0,0.0,0.0,L039_A0,camera_only,B,0.03319057077169418,0.035849887132644656,0.03798978216946125,0.04697790369391441,0.058405389264225956,0.21144580841064453,0.04912593960762024,0.015232749283313751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04912593960762024,0.015232749283313751,0.03319057077169418,0.21144580841064453
Canon 300D,FL2,L039,0.0815447376292295,appearance0,0.0,0.0,0,0.0,0.0,L039_A0,camera_only,R,0.3693743646144867,0.3768754482269287,0.38771623373031616,0.4278889000415802,0.458241605758667,0.47935953736305237,0.4265715777873993,0.02268258109688759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4265715777873993,0.02268258109688759,0.3693743646144867,0.47935953736305237
Canon 300D,FL2,L039,0.0815447376292295,appearance0,0.0,0.0,0,0.0,0.0,L039_A0,camera_only,G,0.2240748554468155,0.2293479162454605,0.23545656204223633,0.26290127635002136,0.28468812406063077,0.32443979382514954,0.2619706392288208,0.015841538086533546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2619706392288208,0.015841538086533546,0.2240748554468155,0.32443979382514954
Canon 300D,FL2,L039,0.0815447376292295,appearance0,0.0,0.0,0,0.0,0.0,L039_A0,camera_only,B,0.012630126439034939,0.013840734660625457,0.015246958192437888,0.019851336255669594,0.029697671532630917,0.20793850719928741,0.023012734949588776,0.017151566222310066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023012734949588776,0.017151566222310066,0.012630126439034939,0.20793850719928741
Nikon D3X,FL2,L039,-0.1801577790011309,appearance1,0.0,0.0,0,0.0,0.0,L039_A3,camera_only,R,0.31620776653289795,0.33426105737686157,0.35562834441661834,0.39562663435935974,0.4393022835254669,0.4577728509902954,0.3958437442779541,0.025265464559197426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3958437442779541,0.025265464559197426,0.31620776653289795,0.4577728509902954
