latent_id,M_mean,H_mean,camera,light,latent_split,acquisition_role,attempt_count,rejection_reason,final_exposure,final_P_mean,final_P_max,final_S_mean
R1V045,0.9478135704994202,0.5737102627754211,Olympus E-PL2,D65,train_like_id,joint,1,,-0.06735410191173591,5.3487303375732154e-05,0.019802497699856758,1.0
R1V046,0.9687619805335999,0.7191014289855957,Olympus E-PL2,D65,train_like_id,reference,1,,0.2495785819401235,0.0,0.0,1.0
R1V046,0.9687619805335999,0.7191014289855957,Canon 300D,D65,train_like_id,camera_only,1,,0.147080990330259,0.0,0.0,1.0
R1V046,0.9687619805335999,0.7191014289855957,Olympus E-PL2,A,train_like_id,light_only,1,,-0.02136617737277191,0.0,0.0,1.0
R1V046,0.9687619805335999,0.7191014289855957,Olympus E-PL2,D65,train_like_id,appearance_only,1,,-0.04107924638544452,0.000414293201174587,0.0418059416115284,1.0
R1V046,0.9687619805335999,0.7191014289855957,Canon 300D,A,train_like_id,joint,1,,-0.08687675262100364,0.0,0.0,1.0
R1V047,0.9893714189529419,0.8644963502883911,Canon 300D,A,train_like_id,reference,1,,-0.19214815632239496,0.0008638165309093893,0.07927954196929932,1.0
R1V047,0.9893714189529419,0.8644963502883911,Canon 5DMarkII,A,train_like_id,camera_only,1,,-0.08591408938248085,0.0008638165309093893,0.07927954196929932,1.0
R1V047,0.9893714189529419,0.8644963502883911,Canon 300D,FL2,train_like_id,light_only,1,,0.17845136335895595,0.0008638165309093893,0.07927954196929932,1.0
R1V047,0.9893714189529419,0.8644963502883911,Canon 300D,A,train_like_id,appearance_only,1,,0.16737249858526182,8.474595233565196e-05,0.01791832596063614,1.0
R1V047,0.9893714189529419,0.8644963502883911,Canon 5DMarkII,FL2,train_like_id,joint,1,,0.2522788595287304,0.0007493537850677967,0.07861562073230743,1.0
R1V048,0.03131730481982231,0.03137240558862686,Canon 5DMarkII,D65,validation_like_id,reference,1,,0.11880022771263166,0.00014883207040838897,0.02899962291121483,1.0
R1V048,0.03131730481982231,0.03137240558862686,Nikon D80,D65,validation_like_id,camera_only,1,,-0.14489899783526078,0.00014883207040838897,0.02899962291121483,1.0
R1V048,0.03131730481982231,0.03137240558862686,Canon 5DMarkII,A,validation_like_id,light_only,1,,0.2325008673838126,0.00014883207040838897,0.02899962291121483,1.0
R1V048,0.03131730481982231,0.03137240558862686,Canon 5DMarkII,D65,validation_like_id,appearance_only,1,,-0.19640343481642852,0.0,0.0,1.0
R1V048,0.03131730481982231,0.03137240558862686,Nikon D80,A,validation_like_id,joint,1,,0.1897797371378429,0.0,0.0,1.0
R1V049,0.09375303983688354,0.46785181760787964,Nikon D80,A,validation_like_id,reference,1,,-0.35344848614174407,0.0,0.0,1.0
R1V049,0.09375303983688354,0.46785181760787964,Olympus E-PL2,A,validation_like_id,camera_only,1,,-0.48447572991412813,0.0,0.0,1.0
R1V049,0.09375303983688354,0.46785181760787964,Nikon D80,FL2,validation_like_id,light_only,1,,0.07838481387668061,0.0,0.0,1.0
R1V049,0.09375303983688354,0.46785181760787964,Nikon D80,A,validation_like_id,appearance_only,1,,-0.22937820334279246,0.0,0.0,1.0
R1V049,0.09375303983688354,0.46785181760787964,Olympus E-PL2,FL2,validation_like_id,joint,1,,-0.3549827277831078,0.0,0.0,1.0
R1V050,0.15620851516723633,0.9061108231544495,Olympus E-PL2,FL2,validation_like_id,reference,1,,-0.37740890366920915,0.0,0.0,1.0
R1V050,0.15620851516723633,0.9061108231544495,Canon 300D,FL2,validation_like_id,camera_only,1,,-0.07600545161964722,0.0,0.0,1.0
R1V050,0.15620851516723633,0.9061108231544495,Olympus E-PL2,D65,validation_like_id,light_only,1,,0.22905020464917236,0.0,0.0,1.0
R1V050,0.15620851516723633,0.9061108231544495,Olympus E-PL2,FL2,validation_like_id,appearance_only,1,,-0.08309334221731385,0.0,0.0,1.0
R1V050,0.15620851516723633,0.9061108231544495,Canon 300D,D65,validation_like_id,joint,1,,-0.43041310346762257,0.0,0.0,1.0
R1V051,0.21917936205863953,0.34349220991134644,Canon 300D,D65,validation_like_id,reference,1,,0.1249049214432304,0.00018560708849690855,0.04657268524169922,1.0
R1V051,0.21917936205863953,0.34349220991134644,Canon 5DMarkII,D65,validation_like_id,camera_only,1,,0.04794751250210638,0.00018560708849690855,0.04657268524169922,1.0
R1V051,0.21917936205863953,0.34349220991134644,Canon 300D,A,validation_like_id,light_only,1,,-0.35092144369870315,0.00018560708849690855,0.04657268524169922,1.0
R1V051,0.21917936205863953,0.34349220991134644,Canon 300D,D65,validation_like_id,appearance_only,1,,-0.26608433633517514,0.0,0.0,1.0
R1V051,0.21917936205863953,0.34349220991134644,Canon 5DMarkII,A,validation_like_id,joint,1,,-0.20617230781859008,0.00012887785851489753,0.02568347565829754,1.0
R1V052,0.28081750869750977,0.7812826633453369,Canon 5DMarkII,FL2,validation_like_id,reference,1,,-0.4285520604262646,0.0005466920556500554,0.07315772026777267,1.0
R1V052,0.28081750869750977,0.7812826633453369,Nikon D80,FL2,validation_like_id,camera_only,1,,-0.04229365475351737,0.0005466920556500554,0.07315772026777267,1.0
R1V052,0.28081750869750977,0.7812826633453369,Canon 5DMarkII,D65,validation_like_id,light_only,1,,-0.06146109594914523,0.0005466920556500554,0.07315772026777267,1.0
R1V052,0.28081750869750977,0.7812826633453369,Canon 5DMarkII,FL2,validation_like_id,appearance_only,1,,0.15433462085161498,0.00022025607177056372,0.020832877606153488,1.0
R1V052,0.28081750869750977,0.7812826633453369,Nikon D80,D65,validation_like_id,joint,1,,0.1479957426802161,0.0,0.0,1.0
R1V053,0.3429446220397949,0.21900352835655212,Nikon D80,D65,validation_like_id,reference,1,,-0.13899860421294863,0.0,0.0,1.0
R1V053,0.3429446220397949,0.21900352835655212,Olympus E-PL2,D65,validation_like_id,camera_only,1,,0.04409644576944749,0.0,0.0,1.0
R1V053,0.3429446220397949,0.21900352835655212,Nikon D80,A,validation_like_id,light_only,1,,-0.47131106515247195,0.0,0.0,1.0
R1V053,0.3429446220397949,0.21900352835655212,Nikon D80,D65,validation_like_id,appearance_only,1,,-0.4973775443758309,0.0007149159791879356,0.043918587267398834,1.0
R1V053,0.3429446220397949,0.21900352835655212,Olympus E-PL2,A,validation_like_id,joint,1,,0.1872834756958982,0.0,0.0,0.9999999403953552
R1V054,0.4061540961265564,0.656419038772583,Olympus E-PL2,A,validation_like_id,reference,1,,0.20602426317017875,0.0,0.0,0.9999999403953552
R1V054,0.4061540961265564,0.656419038772583,Canon 300D,A,validation_like_id,camera_only,1,,-0.0496630529357075,0.0,0.0,0.9999999403953552
R1V054,0.4061540961265564,0.656419038772583,Olympus E-PL2,FL2,validation_like_id,light_only,1,,-0.2168966842990897,0.0,0.0,0.9999999403953552
R1V054,0.4061540961265564,0.656419038772583,Olympus E-PL2,A,validation_like_id,appearance_only,1,,0.02456484579951257,0.0,0.0,1.0
R1V054,0.4061540961265564,0.656419038772583,Canon 300D,FL2,validation_like_id,joint,1,,0.1772319121671686,0.0,0.0,1.0
R1V055,0.4690081477165222,0.09364315867424011,Canon 300D,FL2,validation_like_id,reference,1,,0.0401023366098433,0.0002399112709099427,0.05016939342021942,0.9999999403953552
R1V055,0.4690081477165222,0.09364315867424011,Canon 5DMarkII,FL2,validation_like_id,camera_only,1,,-0.39643294079102687,0.0002399112709099427,0.05016939342021942,0.9999999403953552
R1V055,0.4690081477165222,0.09364315867424011,Canon 300D,D65,validation_like_id,light_only,1,,0.1383916633586727,0.0002399112709099427,0.05016939342021942,0.9999999403953552
R1V055,0.4690081477165222,0.09364315867424011,Canon 300D,FL2,validation_like_id,appearance_only,1,,0.25532841035858256,0.0,0.0,1.0
R1V055,0.4690081477165222,0.09364315867424011,Canon 5DMarkII,D65,validation_like_id,joint,1,,-0.030777501872160162,0.0005343148950487375,0.030657336115837097,1.0
R1V056,0.5313543081283569,0.5312372446060181,Canon 5DMarkII,A,validation_like_id,reference,1,,-0.39725182440634543,0.0007054393645375967,0.07707782834768295,0.9999999403953552
R1V056,0.5313543081283569,0.5312372446060181,Nikon D80,A,validation_like_id,camera_only,1,,-0.2283157443150889,0.0007054393645375967,0.07707782834768295,0.9999999403953552
R1V056,0.5313543081283569,0.5312372446060181,Canon 5DMarkII,FL2,validation_like_id,light_only,1,,-0.38176941606036874,0.0007054393645375967,0.07707782834768295,0.9999999403953552
R1V056,0.5313543081283569,0.5312372446060181,Canon 5DMarkII,A,validation_like_id,appearance_only,1,,-0.4722889160277679,0.0009711706661619246,0.06576607376337051,1.0
R1V056,0.5313543081283569,0.5312372446060181,Nikon D80,FL2,validation_like_id,joint,1,,0.08733352813549067,0.0008032988989725709,0.06850622594356537,1.0
R1V057,0.594002902507782,0.9686224460601807,Nikon D80,FL2,validation_like_id,reference,1,,-0.19195287347327555,0.0002856109931599349,0.047798123210668564,1.0
R1V057,0.594002902507782,0.9686224460601807,Olympus E-PL2,FL2,validation_like_id,camera_only,1,,-0.22512700946463177,0.0002856109931599349,0.047798123210668564,1.0
R1V057,0.594002902507782,0.9686224460601807,Nikon D80,D65,validation_like_id,light_only,1,,-0.06182656322016522,0.0002856109931599349,0.047798123210668564,1.0
R1V057,0.594002902507782,0.9686224460601807,Nikon D80,FL2,validation_like_id,appearance_only,1,,0.23973826560909262,0.0009732370963320136,0.06619787216186523,1.0
R1V057,0.594002902507782,0.9686224460601807,Olympus E-PL2,D65,validation_like_id,joint,1,,-0.06952498528078144,0.0,0.0,1.0
R1V058,0.6561529636383057,0.40583381056785583,Olympus E-PL2,D65,validation_like_id,reference,1,,0.17912945355963772,0.000570073549170047,0.05635152757167816,1.0
R1V058,0.6561529636383057,0.40583381056785583,Canon 300D,D65,validation_like_id,camera_only,1,,-0.20215891555490978,0.000570073549170047,0.05635152757167816,1.0
