candidate,subject_id,reference_f_mel,actual_f_mel,abs_delta_f_mel,reference_f_blood,actual_f_blood,abs_delta_f_blood,reference_logrmse,actual_logrmse,abs_delta_logrmse
V2R-PSG,p037,0.0914016867010525,0.09140168686984067,1.687881640011213e-10,0.0458553077865587,0.04585530705712746,7.294312376338041e-10,0.0392815642981096,0.03928156429810972,1.249000902703301e-16
V2R-PSG,p038,0.1247087252743829,0.1247087252920321,1.7649201544678306e-11,0.0999999999999999,0.09999999999999999,9.71445146547012e-17,0.0614921415637669,0.06149214156376697,6.938893903907228e-17
V2R-PSG,p040,0.0802629821984731,0.08026298219847063,2.4702462297909733e-15,0.0743171417870354,0.07431714170417648,8.28589141743663e-11,0.0523585012558752,0.052358501255875066,1.3183898417423734e-16
V2R-PSG,p041,0.1072557536377516,0.1072557536377516,0.0,0.0408582894785879,0.04085828947858791,1.3877787807814457e-17,0.059996909684903,0.059996909684903024,2.0816681711721685e-17
V2R-PSG,p042,0.0822966764027048,0.08229667563119283,7.715119654250202e-10,0.045625273817809,0.045625277153044236,3.3352352338256175e-09,0.050875957152538,0.050875957152538044,4.163336342344337e-17
V2R-PSG,p043,0.1034671056707602,0.10346710505049236,6.202678370925696e-10,0.0311581212395975,0.031158123256454597,2.01685709799726e-09,0.0537172766864205,0.0537172766864209,4.0245584642661925e-16
V2R-PSG,p044,0.1471959986619668,0.1471959985386315,1.233353141838478e-10,0.0999999999999998,0.09999999999999999,1.942890293094024e-16,0.0589553737501937,0.058955373750193656,4.163336342344337e-17
V2R-PSG,p045,0.115221612579984,0.11522161772864781,5.148663800857989e-09,0.0616571660063524,0.061657135870888224,3.0135464172686977e-08,0.0606034234790661,0.06060342347906609,1.3877787807814457e-17
V2R-PSG,p046,0.1734925688010691,0.1734925693045978,5.035286909649273e-10,0.0999999999999999,0.09999999999999999,9.71445146547012e-17,0.1080992141514596,0.10809921415145975,1.5265566588595902e-16
V2R-PSG,p047,0.1312354421018593,0.13123544226487127,1.6301196503754056e-10,0.0999999999999999,0.09999999999999999,9.71445146547012e-17,0.0774100672800692,0.07741006728006926,5.551115123125783e-17
V2R-PSG,p048,0.1088924147186784,0.10889241450196784,2.1671056615879536e-10,0.0999999999999999,0.09999999999999999,9.71445146547012e-17,0.0919240877597586,0.09192408775975862,1.3877787807814457e-17
V2R-PSG,p049,0.1281587238884498,0.12815872396814124,7.969144788511073e-11,0.0999999999999999,0.09999999999999999,9.71445146547012e-17,0.064437139977631,0.064437139977631,0.0
V2R-PSG,p050,0.0980859985010407,0.09808599855445499,5.34142868824361e-11,0.0999999999999999,0.09999999999999999,9.71445146547012e-17,0.0537777839902196,0.05377778399021962,1.3877787807814457e-17
V2R-PSG,p051,0.1030887155037169,0.10308871554510073,4.138382692087106e-11,0.0999999999999999,0.09999999999999999,9.71445146547012e-17,0.0527976539916221,0.05279765399162204,5.551115123125783e-17
