base_candidate,subject_id,outer_fold,setting,value,f_mel,f_blood,s,logrmse,delta_f_mel,delta_f_blood,delta_s,logrmse_change,boundary_any,converged,prediction_above_one_count
V2R-PSG,p003,2,bandwidth_440_660,220.0,0.08992213410536942,0.06944623354390006,0.8073646259518548,0.04923289974872016,0.0014871546950056547,-0.006243084299537016,-0.00677171065602844,-0.0044962448221326015,False,True,0
V2R-PSG,p004,1,diameter_um,0.0,0.10559056200761867,0.049835743585811304,0.6518429480079847,0.05480171672177272,-0.00020914736827022662,-0.008636366052400278,-0.0857137227143221,0.0016930435109562963,False,True,0
V2R-PSG,p004,1,diameter_um,7.5,0.10572288765294431,0.05395042597603511,0.6968852815847711,0.053886541704265975,-7.682172294458389e-05,-0.004521683662176472,-0.04067138913753565,0.0007778684934495531,False,True,0
V2R-PSG,p004,1,diameter_um,15.0,0.10579970940976659,0.058472108105817114,0.7375566394213502,0.05310867321081655,3.387769231810722e-11,-1.5323944682621438e-09,-3.130095660441867e-08,1.249000902703301e-16,False,True,0
V2R-PSG,p004,1,diameter_um,30.0,0.10584633394894515,0.0684255097128193,0.8045179691395531,0.05186419577248351,4.662457305625034e-05,0.009953400074607717,0.0669612984172463,-0.0012444774383329124,False,True,0
V2R-PSG,p004,1,epidermis_thickness_mm,0.05,0.11171855603477049,0.06723315051575172,0.4672090185680772,0.05701125375215155,0.0059188466588815936,0.008761040877540142,-0.2703476521542296,0.0039025805413351253,False,True,0
V2R-PSG,p004,1,epidermis_thickness_mm,0.06,0.10579970940976659,0.058472108105817114,0.7375566394213502,0.05310867321081655,3.387769231810722e-11,-1.5323944682621438e-09,-3.130095660441867e-08,1.249000902703301e-16,False,True,0
V2R-PSG,p004,1,epidermis_thickness_mm,0.07,0.1012606982984432,0.05242045172680087,0.9999999999999999,0.052839838585471206,-0.004539011077445698,-0.006051657911410713,0.2624433292776931,-0.00026883462534521563,True,True,0
V2R-PSG,p004,1,whole_blood_hb_g_l,100.0,0.10578365089224527,0.08304695374601678,0.705533635001933,0.0633439164584705,-1.60584836436245e-05,0.0245748441078052,-0.032023035720373794,0.010235243247654076,False,True,0
V2R-PSG,p004,1,whole_blood_hb_g_l,150.0,0.10579970940976659,0.058472108105817114,0.7375566394213502,0.05310867321081655,3.387769231810722e-11,-1.5323944682621438e-09,-3.130095660441867e-08,1.249000902703301e-16,False,True,0
V2R-PSG,p004,1,whole_blood_hb_g_l,200.0,0.1058107263787537,0.04628052261896037,0.7647846603237511,0.05723407172110705,1.1017002864807668e-05,-0.012191587019251215,0.027227989601444347,0.004125398510290625,False,True,0
V2R-PSG,p004,1,scattering_amplitude_multiplier,0.9,0.09791530327288529,0.057480786130721606,0.5902371802298817,0.054893658524185394,-0.007884406103003602,-0.000991323507489976,-0.1473194904924251,0.0017849853133689725,False,True,0
V2R-PSG,p004,1,scattering_amplitude_multiplier,1.0,0.10579970940976659,0.058472108105817114,0.7375566394213502,0.05310867321081655,3.387769231810722e-11,-1.5323944682621438e-09,-3.130095660441867e-08,1.249000902703301e-16,False,True,0
