camera_name,light_name,latent_id,m_base,h_base,exposure_ev,appearance_id,AUDIT_ONLY
Canon 5DMarkII,A,HM11,0.9791666667,0.8125,0.5,appearance2,True
Canon 5DMarkII,FL2,HM11,0.9791666667,0.8125,0.5,appearance2,True
Canon 5DMarkII,FL11,HM11,0.9791666667,0.8125,0.5,appearance2,True
Nikon D80,D65,HM00,0.75,0.1875,-0.5,appearance0,True
Nikon D80,A,HM00,0.75,0.1875,-0.5,appearance0,True
Nikon D80,FL2,HM00,0.75,0.1875,-0.5,appearance0,True
Nikon D80,FL11,HM00,0.75,0.1875,-0.5,appearance0,True
Nikon D80,D65,HM00,0.75,0.1875,0.0,appearance0,True
Nikon D80,A,HM00,0.75,0.1875,0.0,appearance0,True
Nikon D80,FL2,HM00,0.75,0.1875,0.0,appearance0,True
Nikon D80,FL11,HM00,0.75,0.1875,0.0,appearance0,True
Nikon D80,D65,HM00,0.75,0.1875,0.5,appearance0,True
Nikon D80,A,HM00,0.75,0.1875,0.5,appearance0,True
Nikon D80,FL2,HM00,0.75,0.1875,0.5,appearance0,True
Nikon D80,FL11,HM00,0.75,0.1875,0.5,appearance0,True
Nikon D80,D65,HM00,0.75,0.1875,-0.5,appearance2,True
Nikon D80,A,HM00,0.75,0.1875,-0.5,appearance2,True
Nikon D80,FL2,HM00,0.75,0.1875,-0.5,appearance2,True
Nikon D80,FL11,HM00,0.75,0.1875,-0.5,appearance2,True
Nikon D80,D65,HM00,0.75,0.1875,0.0,appearance2,True
Nikon D80,A,HM00,0.75,0.1875,0.0,appearance2,True
Nikon D80,FL2,HM00,0.75,0.1875,0.0,appearance2,True
Nikon D80,FL11,HM00,0.75,0.1875,0.0,appearance2,True
Nikon D80,D65,HM00,0.75,0.1875,0.5,appearance2,True
Nikon D80,A,HM00,0.75,0.1875,0.5,appearance2,True
Nikon D80,FL2,HM00,0.75,0.1875,0.5,appearance2,True
Nikon D80,FL11,HM00,0.75,0.1875,0.5,appearance2,True
Nikon D80,D65,HM01,0.75,0.5,-0.5,appearance0,True
Nikon D80,A,HM01,0.75,0.5,-0.5,appearance0,True
Nikon D80,FL2,HM01,0.75,0.5,-0.5,appearance0,True
Nikon D80,FL11,HM01,0.75,0.5,-0.5,appearance0,True
Nikon D80,D65,HM01,0.75,0.5,0.0,appearance0,True
Nikon D80,A,HM01,0.75,0.5,0.0,appearance0,True
Nikon D80,FL2,HM01,0.75,0.5,0.0,appearance0,True
Nikon D80,FL11,HM01,0.75,0.5,0.0,appearance0,True
Nikon D80,D65,HM01,0.75,0.5,0.5,appearance0,True
Nikon D80,A,HM01,0.75,0.5,0.5,appearance0,True
Nikon D80,FL2,HM01,0.75,0.5,0.5,appearance0,True
Nikon D80,FL11,HM01,0.75,0.5,0.5,appearance0,True
Nikon D80,D65,HM01,0.75,0.5,-0.5,appearance2,True
Nikon D80,A,HM01,0.75,0.5,-0.5,appearance2,True
Nikon D80,FL2,HM01,0.75,0.5,-0.5,appearance2,True
Nikon D80,FL11,HM01,0.75,0.5,-0.5,appearance2,True
Nikon D80,D65,HM01,0.75,0.5,0.0,appearance2,True
Nikon D80,A,HM01,0.75,0.5,0.0,appearance2,True
Nikon D80,FL2,HM01,0.75,0.5,0.0,appearance2,True
Nikon D80,FL11,HM01,0.75,0.5,0.0,appearance2,True
Nikon D80,D65,HM01,0.75,0.5,0.5,appearance2,True
Nikon D80,A,HM01,0.75,0.5,0.5,appearance2,True
Nikon D80,FL2,HM01,0.75,0.5,0.5,appearance2,True
Nikon D80,FL11,HM01,0.75,0.5,0.5,appearance2,True
Nikon D80,D65,HM02,0.75,0.8125,-0.5,appearance0,True
Nikon D80,A,HM02,0.75,0.8125,-0.5,appearance0,True
Nikon D80,FL2,HM02,0.75,0.8125,-0.5,appearance0,True
Nikon D80,FL11,HM02,0.75,0.8125,-0.5,appearance0,True
Nikon D80,D65,HM02,0.75,0.8125,0.0,appearance0,True
Nikon D80,A,HM02,0.75,0.8125,0.0,appearance0,True
Nikon D80,FL2,HM02,0.75,0.8125,0.0,appearance0,True
Nikon D80,FL11,HM02,0.75,0.8125,0.0,appearance0,True
Nikon D80,D65,HM02,0.75,0.8125,0.5,appearance0,True
Nikon D80,A,HM02,0.75,0.8125,0.5,appearance0,True
Nikon D80,FL2,HM02,0.75,0.8125,0.5,appearance0,True
Nikon D80,FL11,HM02,0.75,0.8125,0.5,appearance0,True
Nikon D80,D65,HM02,0.75,0.8125,-0.5,appearance2,True
Nikon D80,A,HM02,0.75,0.8125,-0.5,appearance2,True
Nikon D80,FL2,HM02,0.75,0.8125,-0.5,appearance2,True
Nikon D80,FL11,HM02,0.75,0.8125,-0.5,appearance2,True
Nikon D80,D65,HM02,0.75,0.8125,0.0,appearance2,True
Nikon D80,A,HM02,0.75,0.8125,0.0,appearance2,True
Nikon D80,FL2,HM02,0.75,0.8125,0.0,appearance2,True
Nikon D80,FL11,HM02,0.75,0.8125,0.0,appearance2,True
Nikon D80,D65,HM02,0.75,0.8125,0.5,appearance2,True
Nikon D80,A,HM02,0.75,0.8125,0.5,appearance2,True
