candidate,subject_id,capture_id,outer_fold,solver_converged,selected_start_index,selected_nfev,selected_status,selected_optimality,f_mel,f_blood,c_tHb_eq_g_l,logrmse,rmse,sam_deg,centered_logrmse,mean_log_residual,reference_logrmse,model_to_reference_error_ratio,model_better_than_reference,f_mel_at_lower,f_mel_at_upper,f_blood_at_lower,f_blood_at_upper,diameter_um,scattering_amplitude,delta_bs,g0
V2R-PS,p048,p048_neutral_front,4,True,32,9,2,1.3536521161316773e-08,0.09976142030783758,0.09999999999999999,14.999999999999998,0.08915272416537738,0.025284781891019056,4.92855097741799,0.08902491054579613,0.0047721618183863964,0.08452821904465835,1.0547096008053334,False,False,False,False,True,15.0,1.4970349624431978,0.4999999999999999,1.0
V2R-PS,p007,p007_neutral_front,5,True,32,14,2,1.9743927737096996e-08,0.12662224763881755,0.0927311429317938,13.90967143976907,0.06925428454347111,0.015537070626158618,3.694433313930303,0.06922270198861542,-0.002091281191853583,0.22317993423397947,0.31030694932845376,True,False,False,False,False,15.0,1.5153930249673337,0.4999999999999999,1.0
V2R-PS,p009,p009_neutral_front,5,True,2,9,2,5.5489503138197905e-08,0.14106051837269354,0.09999999999999999,14.999999999999998,0.10180930418799182,0.021504206895929953,5.512923285067829,0.10180415469257932,-0.0010239660992565737,0.3132877392838114,0.32497059866029887,True,False,False,False,True,15.0,1.5153930249673337,0.4999999999999999,1.0
V2R-PS,p017,p017_neutral_front,5,True,27,11,2,1.369363724609045e-07,0.07370161058406648,0.03529246502844171,5.2938697542662565,0.07925577178012286,0.03517031476285015,4.685785930726053,0.07865521458530368,-0.009738304729404838,0.2346034856449402,0.33782861990410584,True,False,False,False,False,15.0,1.5153930249673337,0.4999999999999999,1.0
V2R-PS,p024,p024_neutral_front,5,True,3,12,1,1.5889811341188428e-09,0.10889300599631495,0.09999999999999999,14.999999999999998,0.06321482064176347,0.019129295363195496,3.7374742440052313,0.06318397994963193,-0.001974392690128668,0.13018393302235823,0.48558081764903155,True,False,False,False,True,15.0,1.5153930249673337,0.4999999999999999,1.0
V2R-PS,p040,p040_neutral_front,5,True,13,13,2,6.375584010421666e-08,0.0717360088933006,0.06843741205287283,10.265611807930926,0.05825258367748176,0.024409232363051727,3.4655419088510557,0.057993085554794335,-0.0054923158081376525,0.18414069462273758,0.3163482346845061,True,False,False,False,False,15.0,1.5153930249673337,0.4999999999999999,1.0
V2R-PS,p042,p042_neutral_front,5,True,6,12,2,1.0603569045267995e-08,0.07380604946856563,0.04212114018736455,6.318171028104683,0.05424613205561623,0.022771485240831592,3.3604760862175285,0.054136894207012856,-0.003440861609256072,0.21314144996902937,0.2545076617593551,True,False,False,False,False,15.0,1.5153930249673337,0.4999999999999999,1.0
V2R-PS,p045,p045_neutral_front,5,True,26,8,2,2.699821177283363e-08,0.10450867575030719,0.060402959504756076,9.060443925713411,0.0649289225025532,0.02046549655856757,3.7214894940719985,0.06478227846065567,-0.004361350110760138,0.07831358278563605,0.8290889037765002,True,False,False,False,False,15.0,1.5153930249673337,0.4999999999999999,1.0
V2R-PS,p047,p047_neutral_front,5,True,9,9,2,1.9714606680336067e-08,0.11891577945437458,0.09999999999999999,14.999999999999998,0.07668061211131437,0.01852586178303197,4.142029922828294,0.07667143194741428,0.0011865061731285431,0.18502561320030544,0.41443241713946544,True,False,False,False,True,15.0,1.5153930249673337,0.4999999999999999,1.0
V2R-PSG,p004,p004_neutral_front,1,True,10,11,1,9.749204927797515e-09,0.10569315772270678,0.057367850341692964,8.605177551253945,0.0531977641200647,0.016237608758222253,3.1072950552849785,0.05318123551059896,-0.0013260078959988918,0.056917941136243246,0.9346396418789352,True,False,False,False,False,15.0,1.4763056990827377,0.4999999999999999,1.053160299202578
