candidate,subject_id,outer_fold,wavelength_nm,signed_residual,log_residual,band_role
V2R-PSG,p005,4,460,-0.0009704075100909482,-0.005074222735023781,fit
V2R-PSG,p005,4,470,-0.001992672120011252,-0.01025517479165483,fit
V2R-PSG,p005,4,480,0.004262981743330618,0.021949592658783823,fit
V2R-PSG,p005,4,490,0.0035579686867237836,0.018017534838702165,fit
V2R-PSG,p005,4,500,0.004450074497405698,0.022235505945648715,fit
V2R-PSG,p005,4,510,0.009998252361997001,0.050006254076724765,fit
V2R-PSG,p005,4,520,0.007436296088010441,0.036884814671965804,fit
V2R-PSG,p005,4,530,0.01226812242503178,0.06282433797332776,fit
V2R-PSG,p005,4,540,0.013232528099424462,0.06887489013272341,fit
V2R-PSG,p005,4,550,-0.00966337242723636,-0.04672350583604423,fit
V2R-PSG,p005,4,560,0.0026966913664500103,0.01310544056104579,fit
V2R-PSG,p005,4,570,-0.009723359820269867,-0.046291221810981664,fit
V2R-PSG,p005,4,580,-0.004888809087046586,-0.023527280631140846,fit
V2R-PSG,p005,4,590,0.023108623297626307,0.1031824697994832,fit
V2R-PSG,p005,4,600,0.012540196813853932,0.046294494466257774,fit
V2R-PSG,p005,4,610,-0.02276181009530437,-0.07247816307121369,fit
V2R-PSG,p005,4,620,-0.012477840621699321,-0.037767471876279934,fit
V2R-PSG,p005,4,630,-0.019497847521426026,-0.055432015520372024,fit
V2R-PSG,p005,4,640,-0.01045659318358777,-0.02881717267548478,fit
V2R-PSG,p005,4,650,-0.04285755803962327,-0.10907357608499435,fit
V2R-PSG,p005,4,660,-0.0021078320162975506,-0.0054465283814038035,fit
V2R-PSG,p005,4,670,-0.037846976084679185,-0.09052630568479347,fit
V2R-PSG,p005,4,680,0.023026008295204126,0.057403822877470256,fit
V2R-PSG,p005,4,690,-0.04707587390661433,-0.10488373265142581,edge_diagnostic
V2R-PSG,p005,4,700,0.009710205109960124,0.02245545575712482,edge_diagnostic
V2R-PSG,p012,4,400,-0.19054724954954977,-0.5641529745559273,edge_diagnostic
V2R-PSG,p012,4,410,-0.12183337447915332,-0.3976600398208122,edge_diagnostic
V2R-PSG,p012,4,420,-0.0336427993190789,-0.12728039129443602,fit
V2R-PSG,p012,4,430,-0.005338219116504783,-0.021420262570657878,fit
V2R-PSG,p012,4,440,0.0199263214646781,0.08441690444945382,fit
V2R-PSG,p012,4,450,0.008174992320513663,0.03325711362054484,fit
V2R-PSG,p012,4,460,-0.010584311902094967,-0.040497846022523376,fit
V2R-PSG,p012,4,470,0.00021927119532827444,0.0008399242939467477,fit
V2R-PSG,p012,4,480,0.0013718508166805088,0.005164876215716374,fit
V2R-PSG,p012,4,490,0.0042051093952394925,0.015689976243996817,fit
V2R-PSG,p012,4,500,0.001715022042434844,0.006287115194993476,fit
V2R-PSG,p012,4,510,0.0024242878248347255,0.008837095109810456,fit
V2R-PSG,p012,4,520,0.0030300425391357466,0.011170177262006531,fit
V2R-PSG,p012,4,530,0.007725249879650176,0.0298730139919412,fit
V2R-PSG,p012,4,540,0.0013767033151430574,0.005411816066383857,fit
V2R-PSG,p012,4,550,-0.007013709658554912,-0.026848932871626374,fit
V2R-PSG,p012,4,560,-0.002878767195056975,-0.010880672489852472,fit
V2R-PSG,p012,4,570,-0.012250247600287256,-0.04650928810467225,fit
V2R-PSG,p012,4,580,-0.026213690972598902,-0.09791049332142854,fit
V2R-PSG,p012,4,590,0.016165471444535284,0.05590262889926745,fit
V2R-PSG,p012,4,600,0.02617585785944504,0.07636951351615906,fit
V2R-PSG,p012,4,610,-0.007698566260801842,-0.01957293210762301,fit
V2R-PSG,p012,4,620,0.009043703108060741,0.021995035861630208,fit
V2R-PSG,p012,4,630,-0.010955866194216901,-0.02481421682396534,fit
V2R-PSG,p012,4,640,0.0028243843543045988,0.006261026434274619,fit
V2R-PSG,p012,4,650,-0.017709578730598252,-0.03724281694538756,fit
V2R-PSG,p012,4,660,0.016184390063664567,0.03426350193309202,fit
V2R-PSG,p012,4,670,-0.01362027169133112,-0.02723687454108048,fit
V2R-PSG,p012,4,680,0.04180417765460709,0.08627614504108994,fit
V2R-PSG,p012,4,690,-0.016712361476990623,-0.03177413966642895,edge_diagnostic
V2R-PSG,p012,4,700,0.012887714620308688,0.024728307985172115,edge_diagnostic
V2R-PSG,p025,4,400,-0.17486973646374146,-0.5907501493591581,edge_diagnostic
V2R-PSG,p025,4,410,-0.10336301391123423,-0.3912822838919052,edge_diagnostic
V2R-PSG,p025,4,420,-0.022179622254781484,-0.0982101167186995,fit
V2R-PSG,p025,4,430,0.004247511418991046,0.02000462179414364,fit
V2R-PSG,p025,4,440,0.009404364534573328,0.044766477537136584,fit
V2R-PSG,p025,4,450,0.019024554751495393,0.09130745076131985,fit
V2R-PSG,p025,4,460,-0.007598994547938109,-0.0335194841775297,fit
V2R-PSG,p025,4,470,0.009777378314753032,0.04389109080224207,fit
V2R-PSG,p025,4,480,0.02301455633647667,0.10400554488462732,fit
V2R-PSG,p025,4,490,0.00938998667296903,0.04024555322631196,fit
V2R-PSG,p025,4,500,0.0004574194728260428,0.00188155632462772,fit
V2R-PSG,p025,4,510,0.00015484197264123423,0.0006245771044219861,fit
V2R-PSG,p025,4,520,0.00036865843842187607,0.00147662206397281,fit
V2R-PSG,p025,4,530,0.001224246119998551,0.0049851321085447875,fit
V2R-PSG,p025,4,540,0.009256904554215933,0.03869029094793763,fit
V2R-PSG,p025,4,550,-0.025423664450684336,-0.09704549669856144,fit
V2R-PSG,p025,4,560,-0.0020397142770183785,-0.007893433351616741,fit
V2R-PSG,p025,4,570,-0.002180323354530944,-0.008474654194031483,fit
V2R-PSG,p025,4,580,0.005708443170235722,0.022409396007014637,fit
V2R-PSG,p025,4,590,0.02660130787808135,0.09420960031039272,fit
V2R-PSG,p025,4,600,0.018627504865398437,0.05608924014349248,fit
V2R-PSG,p025,4,610,-0.004901945674761987,-0.013235189738345254,fit
V2R-PSG,p025,4,620,-0.014108023478511367,-0.03559762284085588,fit
V2R-PSG,p025,4,630,-0.025229920201571554,-0.060143080392665915,fit
V2R-PSG,p025,4,640,-0.02658286702816015,-0.06103605579507865,fit
V2R-PSG,p025,4,650,-0.03431323449193391,-0.0756978461088651,fit
V2R-PSG,p025,4,660,-0.02606377069308574,-0.05631091064738358,fit
V2R-PSG,p025,4,670,-0.06458846594906431,-0.1306313985690304,fit
V2R-PSG,p025,4,680,0.014740934776798387,0.03150093682566257,fit
V2R-PSG,p025,4,690,-0.06144333051537171,-0.11872961228993895,edge_diagnostic
V2R-PSG,p025,4,700,0.004104081721563457,0.0082718392768113,edge_diagnostic
V2R-PSG,p026,4,400,-0.1830388963449423,-0.6649743072513359,edge_diagnostic
V2R-PSG,p026,4,410,-0.10802824021334004,-0.44597993968627136,edge_diagnostic
V2R-PSG,p026,4,420,-0.030661646632413303,-0.14899593804017175,fit
V2R-PSG,p026,4,430,-0.00536124557915818,-0.027868633042296143,fit
V2R-PSG,p026,4,440,0.009032220949837771,0.048959055431254006,fit
V2R-PSG,p026,4,450,0.013692281178967841,0.07474272428860629,fit
V2R-PSG,p026,4,460,-0.01189063378406005,-0.05991698049254501,fit
V2R-PSG,p026,4,470,0.0045340823967607025,0.023520974601492828,fit
V2R-PSG,p026,4,480,0.017637476308728944,0.0933125445294507,fit
V2R-PSG,p026,4,490,0.009893443517055317,0.05055596928159911,fit
V2R-PSG,p026,4,500,-0.00012619285360479515,-0.0006197664680041015,fit
V2R-PSG,p026,4,510,-0.0003219381404930277,-0.001562771775705185,fit
V2R-PSG,p026,4,520,0.0011743704582885817,0.005723741948543193,fit
V2R-PSG,p026,4,530,0.004111881435001741,0.020633518915428306,fit
V2R-PSG,p026,4,540,0.011538322220159658,0.059964998513929224,fit
V2R-PSG,p026,4,550,-0.0035022571332090913,-0.017269761542578976,fit
V2R-PSG,p026,4,560,0.002614713769703958,0.01279108489834413,fit
V2R-PSG,p026,4,570,-0.001080818807913303,-0.005300210705605712,fit
V2R-PSG,p026,4,580,0.005257300373061852,0.02622932776598641,fit
V2R-PSG,p026,4,590,0.021184150077804997,0.0952547898787226,fit
V2R-PSG,p026,4,600,0.011546622179673227,0.04281727234466981,fit
V2R-PSG,p026,4,610,-0.007284856432130338,-0.02385867233984862,fit
V2R-PSG,p026,4,620,-0.008352479731392304,-0.02548649355953625,fit
V2R-PSG,p026,4,630,-0.019903071443560516,-0.05660685314875202,fit
V2R-PSG,p026,4,640,-0.02118737819254718,-0.05758502445854663,fit
V2R-PSG,p026,4,650,-0.023517154336018864,-0.06134860271820186,fit
V2R-PSG,p026,4,660,-0.01704691012875964,-0.04323665422288725,fit
V2R-PSG,p026,4,670,-0.044952034221408255,-0.10667562149136467,fit
V2R-PSG,p026,4,680,0.020061127300672665,0.049836044120063705,fit
V2R-PSG,p026,4,690,-0.04278372013960635,-0.09577438957084661,edge_diagnostic
V2R-PSG,p026,4,700,0.010848385231582824,0.02512719890784776,edge_diagnostic
V2R-PSG,p027,4,400,-0.1787138516838011,-0.6524943980404849,edge_diagnostic
V2R-PSG,p027,4,410,-0.10358141255317388,-0.4301498610640546,edge_diagnostic
V2R-PSG,p027,4,420,-0.028381727127526013,-0.138195665456194,fit
V2R-PSG,p027,4,430,-0.003945270465202766,-0.02048638859694396,fit
V2R-PSG,p027,4,440,0.010061428941034567,0.05432874505032581,fit
V2R-PSG,p027,4,450,0.014852394919817047,0.08058897128995568,fit
V2R-PSG,p027,4,460,-0.011746978874932895,-0.05856873084870018,fit
V2R-PSG,p027,4,470,0.0033028383283506546,0.016840515650287102,fit
V2R-PSG,p027,4,480,0.016512502558526737,0.08556695770866662,fit
V2R-PSG,p027,4,490,0.008121076903905455,0.0404512045059231,fit
V2R-PSG,p027,4,500,0.0005680030306163542,0.002726325760949555,fit
V2R-PSG,p027,4,510,0.00015402983067433484,0.0007269305858819131,fit
V2R-PSG,p027,4,520,0.0026332949591592048,0.012433631644811705,fit
V2R-PSG,p027,4,530,0.001213829464366739,0.005800156036907422,fit
V2R-PSG,p027,4,540,0.007924334519648135,0.038879935503009166,fit
V2R-PSG,p027,4,550,-0.0069620845535688924,-0.03232562368352321,fit
V2R-PSG,p027,4,560,-0.0046913675960749135,-0.021290591387837843,fit
V2R-PSG,p027,4,570,-0.009873901799311358,-0.04454249390838072,fit
V2R-PSG,p027,4,580,-0.004955852251220971,-0.022513049559779175,fit
V2R-PSG,p027,4,590,0.01668265323077328,0.06911025828032402,fit
V2R-PSG,p027,4,600,0.014355092338930009,0.050540870964025375,fit
V2R-PSG,p027,4,610,0.0020324668937213852,0.0064431454478086625,fit
V2R-PSG,p027,4,620,0.006192256462970225,0.018522833732643518,fit
V2R-PSG,p027,4,630,-0.008562328894715088,-0.0238306767251657,fit
V2R-PSG,p027,4,640,-0.014185410166226209,-0.03757358864978011,fit
V2R-PSG,p027,4,650,-0.017057494179640753,-0.04338675423939664,fit
V2R-PSG,p027,4,660,-0.012993553317541262,-0.03207338884493227,fit
V2R-PSG,p027,4,670,-0.04853951705090187,-0.11136257599448918,fit
