candidate,subject_id,outer_fold,start_index,selected,success,valid,logrmse,cost,nfev,status,optimality,initial_theta,final_theta
V2R-PS,p006,1,15,False,True,True,0.05478535833554095,0.04051937908737395,11,2,1.0150566561219331e-08,"[0.10578793019987642,0.024011816177517176]","[0.11109510714604812,0.0846861157223654]"
V2R-PS,p006,1,16,False,True,True,0.0547853583355372,0.04051937908736841,10,1,4.38115467409792e-09,"[0.0860457159858197,0.0666032299399376]","[0.1110951028909912,0.08468614321781613]"
V2R-PS,p006,1,17,False,True,True,0.05478535833553797,0.04051937908736956,13,1,6.5769156160079635e-09,"[0.2826217838842422,0.0207813385874033]","[0.1110951042825253,0.08468613443434611]"
V2R-PS,p006,1,18,False,True,True,0.05478535833553752,0.040519379087368884,13,1,4.067202744639373e-09,"[0.41142027235589923,0.08492284743115307]","[0.11109510350903273,0.08468613943422702]"
V2R-PS,p006,1,19,False,True,True,0.05478535833554079,0.04051937908737373,12,2,1.2239214967991833e-08,"[0.1873400152567774,0.027669312711805106]","[0.11109510707559733,0.08468611629998718]"
V2R-PS,p006,1,20,False,True,True,0.05478535833554018,0.040519379087372825,8,1,8.938981435345987e-09,"[0.14090192949399352,0.09620695794001222]","[0.11109510660366824,0.08468611911305508]"
V2R-PS,p006,1,21,False,True,True,0.054785358335539394,0.04051937908737166,13,1,8.650706580571675e-09,"[0.33695350993424655,0.04139464469626546]","[0.11109510587727466,0.08468612400255457]"
V2R-PS,p006,1,22,False,True,True,0.05478535833553733,0.04051937908736859,12,2,1.0372852414614664e-08,"[0.2488607112504542,0.052215858735144144]","[0.11109510318732897,0.08468614182934775]"
V2R-PS,p006,1,23,False,True,True,0.054785358335537895,0.04051937908736944,13,1,6.956351581700205e-09,"[0.02572486028075218,0.010202757827937604]","[0.11109510422426479,0.08468613483156312]"
V2R-PS,p006,1,24,False,True,True,0.05478535833554749,0.04051937908738363,8,2,1.6029215797218516e-08,"[0.0494524481613189,0.07921637445688248]","[0.11109511077410737,0.08468609195121923]"
V2R-PS,p006,1,25,False,True,True,0.054785358335544675,0.04051937908737947,12,2,1.5333040468852528e-08,"[0.2251378400903195,0.03338839747011662]","[0.11109510943160267,0.08468610095408695]"
V2R-PS,p006,1,26,False,True,True,0.054785358335537465,0.0405193790873688,13,1,7.845937906806885e-09,"[0.36740168997086586,0.07233448056504131]","[0.11109510338913678,0.08468614039666314]"
V2R-PS,p006,1,27,False,True,True,0.05478535833555782,0.0405193790873989,11,2,1.84895648855633e-08,"[0.11046215689741075,0.015087067242711784]","[0.11109511459295393,0.08468606689375213]"
V2R-PS,p006,1,28,False,True,True,0.054785358335547193,0.04051937908738319,11,2,1.7060927930169386e-08,"[0.21107580233365297,0.05859389686957002]","[0.11109511064503427,0.08468609284841219]"
V2R-PS,p006,1,29,False,True,True,0.0547853583355385,0.040519379087370334,14,2,1.1946811073165191e-08,"[0.38770560359582307,0.003787693101912737]","[0.11109510503027831,0.0846861295732691]"
V2R-PS,p006,1,30,False,True,True,0.054785358335539394,0.04051937908737166,12,1,8.041510061782801e-09,"[0.3130748824775219,0.08980411831289531]","[0.11109510589051574,0.08468612383465107]"
V2R-PS,p006,1,31,False,True,True,0.05478535833553797,0.04051937908736955,11,1,2.6422185828033518e-09,"[0.055610865149647,0.04778491985052824]","[0.11109510419523795,0.08468613486585025]"
V2R-PS,p006,1,32,False,True,True,0.05478535833553743,0.04051937908736876,12,1,1.8213925693872555e-09,"[0.215,0.05]","[0.1110951033713176,0.08468613999257404]"
V2R-PS,p011,1,0,False,True,True,0.06952233906580997,0.06525030099394954,8,2,1.300764279996599e-07,"[0.02917547126300633,0.024167728982865812]","[0.052888523651255036,0.03875967961268317]"
V2R-PS,p011,1,1,False,True,True,0.0695223390658265,0.06525030099398058,10,2,1.519264923385105e-07,"[0.22824211011640727,0.09210778921842576]","[0.05288852130749463,0.03875968880614608]"
V2R-PS,p011,1,2,False,True,True,0.06952233906581891,0.06525030099396634,11,2,4.156430719032914e-07,"[0.40754229358397426,0.04449635483324528]","[0.052888551434067184,0.038759571166968286]"
V2R-PS,p011,1,3,False,True,True,0.06952233906577676,0.0652503009938872,10,2,6.080658988471816e-08,"[0.1681629464868456,0.06561958361417056]","[0.052888530710577225,0.03875965212912777]"
V2R-PS,p011,1,4,False,True,True,0.069522339065784,0.0652503009939008,10,2,8.077574489132286e-08,"[0.14993294616229833,0.033029535226523875]","[0.052888528630859265,0.03875966021026477]"
V2R-PS,p011,1,5,False,True,True,0.06952233906578209,0.06525030099389723,11,2,7.463610562768359e-08,"[0.34937193761579693,0.05101842060685158]","[0.0528885291619389,0.03875965815108285]"
V2R-PS,p011,1,6,False,True,True,0.06952233906577944,0.06525030099389223,12,2,6.707964397968081e-08,"[0.31365899852477014,0.00965813361108303]","[0.05288852991948348,0.03875965520719554]"
