candidate,reference,metric,fold,delta_candidate_minus_reference
global_stage2a,global_raw,severe_vs_rest_auc,1,-0.015055852355512434
global_stage2a,global_raw,severe_vs_rest_auc,2,0.010952380952380936
global_stage2a,global_raw,severe_vs_rest_auc,3,0.05047619047619056
global_stage2a,global_raw,severe_vs_rest_auc,4,-0.03761904761904755
global_stage2a,global_raw,normal_vs_abnormal_auc,0,0.00903444381705254
global_stage2a,global_raw,normal_vs_abnormal_auc,1,-0.008469791078486666
global_stage2a,global_raw,normal_vs_abnormal_auc,2,-0.012422360248447228
global_stage2a,global_raw,normal_vs_abnormal_auc,3,0.008469791078486666
global_stage2a,global_raw,normal_vs_abnormal_auc,4,0.04912478825522304
global_stage2b,global_raw,macro_auc,0,0.01001918291204984
global_stage2b,global_raw,macro_auc,1,-0.016303605139138977
global_stage2b,global_raw,macro_auc,2,-0.0031527673663710454
global_stage2b,global_raw,macro_auc,3,0.009845747218375611
global_stage2b,global_raw,macro_auc,4,-0.005533697583337105
global_stage2b,global_raw,accuracy,0,0.020000000000000018
global_stage2b,global_raw,accuracy,1,-0.010000000000000009
global_stage2b,global_raw,accuracy,2,-0.010000000000000009
global_stage2b,global_raw,accuracy,3,-0.010000000000000009
global_stage2b,global_raw,accuracy,4,-0.020000000000000018
global_stage2b,global_raw,balanced_accuracy,0,0.060625937031484334
global_stage2b,global_raw,balanced_accuracy,1,-0.013045560553056834
global_stage2b,global_raw,balanced_accuracy,2,-0.007092198581560294
global_stage2b,global_raw,balanced_accuracy,3,-0.009199301058690434
global_stage2b,global_raw,balanced_accuracy,4,0.08667900092506942
global_stage2b,global_raw,macro_f1,0,0.028403915871946572
global_stage2b,global_raw,macro_f1,1,-0.027809871465171332
global_stage2b,global_raw,macro_f1,2,-0.013145863507309341
global_stage2b,global_raw,macro_f1,3,0.010918306930185917
global_stage2b,global_raw,macro_f1,4,0.030620113133101756
global_stage2b,global_raw,auc_normal,0,0.024280067758328583
global_stage2b,global_raw,auc_normal,1,-0.007905138339921014
global_stage2b,global_raw,auc_normal,2,-0.008469791078486777
global_stage2b,global_raw,auc_normal,3,0.0016939582156972888
global_stage2b,global_raw,auc_normal,4,0.05985319028797287
global_stage2b,global_raw,auc_mild,0,0.02083333333333337
global_stage2b,global_raw,auc_mild,1,0.028445512820512775
global_stage2b,global_raw,auc_mild,2,-0.010036130068245663
global_stage2b,global_raw,auc_mild,3,-0.001204335608189444
global_stage2b,global_raw,auc_mild,4,-0.0574066639903652
global_stage2b,global_raw,auc_severe,0,-0.015055852355512434
global_stage2b,global_raw,auc_severe,1,-0.0694511898980088
global_stage2b,global_raw,auc_severe,2,0.009047619047618971
global_stage2b,global_raw,auc_severe,3,0.0290476190476191
global_stage2b,global_raw,auc_severe,4,-0.01904761904761909
global_stage2b,global_raw,recall_normal,0,0.34782608695652173
global_stage2b,global_raw,recall_normal,1,0.0434782608695653
global_stage2b,global_raw,recall_normal,2,0.0
global_stage2b,global_raw,recall_normal,3,-0.13043478260869562
global_stage2b,global_raw,recall_normal,4,0.5217391304347826
global_stage2b,global_raw,recall_mild,0,-0.0625
global_stage2b,global_raw,recall_mild,1,0.02083333333333337
global_stage2b,global_raw,recall_mild,2,-0.021276595744680826
global_stage2b,global_raw,recall_mild,3,-0.06382978723404253
global_stage2b,global_raw,recall_mild,4,-0.36170212765957444
global_stage2b,global_raw,recall_severe,0,-0.10344827586206895
global_stage2b,global_raw,recall_severe,1,-0.10344827586206895
global_stage2b,global_raw,recall_severe,2,0.0
global_stage2b,global_raw,recall_severe,3,0.16666666666666669
global_stage2b,global_raw,recall_severe,4,0.09999999999999998
global_stage2b,global_raw,severe_vs_rest_auc,0,-0.015055852355512434
global_stage2b,global_raw,severe_vs_rest_auc,1,-0.0694511898980088
global_stage2b,global_raw,severe_vs_rest_auc,2,0.009047619047618971
global_stage2b,global_raw,severe_vs_rest_auc,3,0.0290476190476191
global_stage2b,global_raw,severe_vs_rest_auc,4,-0.01904761904761909
global_stage2b,global_raw,normal_vs_abnormal_auc,0,0.024280067758328583
global_stage2b,global_raw,normal_vs_abnormal_auc,1,-0.007905138339921014
global_stage2b,global_raw,normal_vs_abnormal_auc,2,-0.008469791078486777
global_stage2b,global_raw,normal_vs_abnormal_auc,3,0.0016939582156972888
global_stage2b,global_raw,normal_vs_abnormal_auc,4,0.05985319028797287
global_stage2b,global_stage2a,macro_auc,0,-0.0052099362685047446
global_stage2b,global_stage2a,macro_auc,1,-0.019145484678233404
global_stage2b,global_stage2a,macro_auc,2,0.00442942431387805
global_stage2b,global_stage2a,macro_auc,3,-0.015958406408374093
global_stage2b,global_stage2a,macro_auc,4,0.016591178647799798
global_stage2b,global_stage2a,accuracy,0,0.0
global_stage2b,global_stage2a,accuracy,1,-0.039999999999999925
global_stage2b,global_stage2a,accuracy,2,-0.020000000000000018
global_stage2b,global_stage2a,accuracy,3,-0.010000000000000009
global_stage2b,global_stage2a,accuracy,4,-0.010000000000000009
global_stage2b,global_stage2a,balanced_accuracy,0,0.015096618357487934
global_stage2b,global_stage2a,balanced_accuracy,1,-0.02022946859903385
global_stage2b,global_stage2a,balanced_accuracy,2,-0.014184397163120532
global_stage2b,global_stage2a,balanced_accuracy,3,0.015109466543324124
global_stage2b,global_stage2a,balanced_accuracy,4,-0.007092198581560294
global_stage2b,global_stage2a,macro_f1,0,0.006125083651236651
