cohort,level,variable,camera_id,total_n,n,missing_or_invalid_n,unique_n,min,p1,p5,p25,median,p75,p95,p99,max,mean,std,iqr,mad,mode,mode_proportion
all_exif_522,patient_group_median,device_centered_brightness,HONOR/BVL-AN00,267,267,0,216,-1.4884792626728112,-1.3535483870967744,-1.0645161290322582,-0.5414746543778802,-0.00460829493087558,0.4539170506912442,1.2889400921658987,1.7530875576036853,2.2442396313364052,-0.002338666528590434,0.7200152232058614,0.9953917050691244,0.47465437788018433,0.3317972350230415,0.0149812734082397
all_exif_522,patient_group_median,ExposureTime,Xiaomi/M2006J10C,236,236,0,8,0.008496,0.010002,0.01000275,0.020004,0.020004,0.030006,0.040008,0.040008,0.050009,0.024697889830508475,0.008241327578743093,0.010002,0.010002,0.020004,0.4533898305084746
all_exif_522,patient_group_median,FNumber,Xiaomi/M2006J10C,236,236,0,1,1.89,1.89,1.89,1.89,1.89,1.89,1.89,1.89,1.89,1.8900000000000001,9.568211165406743e-15,0.0,0.0,1.89,1.0
all_exif_522,patient_group_median,ISOSpeedRatings,Xiaomi/M2006J10C,236,236,0,167,50.0,58.4,75.75,135.0,192.0,268.5,469.75,814.6500000000009,1115.0,228.79025423728814,152.6843478383711,133.5,63.5,82.0,0.01694915254237288
all_exif_522,patient_group_median,BrightnessValue,Xiaomi/M2006J10C,236,236,0,57,3.8,4.545,5.3,6.6,7.4,8.3,9.55,10.465,10.9,7.43050847457627,1.2993293507152088,1.700000000000001,0.8000000000000007,7.2,0.05508474576271186
all_exif_522,patient_group_median,log2_exposure_time,Xiaomi/M2006J10C,236,236,0,8,-6.87900051852002,-6.643567679616601,-6.643459504532216,-5.643567679616601,-5.643567679616601,-5.058605178895445,-4.643567679616601,-4.643567679616601,-4.321668433148858,-5.428249191421549,0.5291195855217042,0.5849625007211561,0.5849625007211561,-5.643567679616601,0.4533898305084746
all_exif_522,patient_group_median,log2_iso_gain,Xiaomi/M2006J10C,236,236,0,167,-1.0,-0.7767196124206325,-0.40070588206806534,0.43295940727610627,0.9411063109464314,1.4247367510457098,2.231863275717406,3.0194739258517544,3.4789718050329426,0.9487470357851054,0.827132606749663,0.9917773437696036,0.5081469036703251,-0.2863041851566411,0.01694915254237288
all_exif_522,patient_group_median,log2_fnumber,Xiaomi/M2006J10C,236,236,0,1,0.9183862344463479,0.9183862344463479,0.9183862344463479,0.9183862344463479,0.9183862344463479,0.9183862344463479,0.9183862344463479,0.9183862344463479,0.9183862344463479,0.918386234446348,3.226489811590646e-15,0.0,0.0,0.9183862344463479,1.0
all_exif_522,patient_group_median,aperture_value_from_f,Xiaomi/M2006J10C,236,236,0,1,1.8367724688926959,1.8367724688926959,1.8367724688926959,1.8367724688926959,1.8367724688926959,1.8367724688926959,1.8367724688926959,1.8367724688926959,1.8367724688926959,1.836772468892696,6.452979623181292e-15,0.0,0.0,1.8367724688926959,1.0
all_exif_522,patient_group_median,time_value_from_t,Xiaomi/M2006J10C,236,236,0,8,4.321668433148858,4.643567679616601,4.643567679616601,5.058605178895445,5.643567679616601,5.643567679616601,6.643459504532216,6.643567679616601,6.87900051852002,5.428249191421549,0.5291195855217042,0.5849625007211561,0.5849625007211561,5.643567679616601,0.4533898305084746
