cohort,level,variable,SEX,sex_name,total_n,n,missing_or_invalid_n,unique_n,min,p1,p5,p25,median,p75,p95,p99,max,mean,std,iqr,mad,mode,mode_proportion
all_exif_522,patient_group_median,BrightnessValue,0,female,220,220,0,141,-2.66,-2.0877,-1.4334999999999998,0.39749999999999996,5.65,7.325,8.9,10.043000000000001,10.4,4.129386363636364,3.7349506498601603,6.9275,2.9499999999999993,7.2,0.03636363636363636
all_exif_522,patient_group_median,log2_exposure_time,0,female,220,220,0,25,-8.813781191217037,-7.394897938537841,-6.643856189774724,-5.643856189774724,-5.643567679616601,-5.058605178895445,-4.643567679616601,-4.643567679616601,-4.321668433148858,-5.642735216347406,0.7026739788822681,0.5852510108792792,0.5849625007211561,-5.643567679616601,0.22272727272727272
all_exif_522,patient_group_median,log2_iso_gain,0,female,220,220,0,125,-1.0,-0.6438561897747247,-0.3219280948873623,0.7376818874175456,1.3419322247768801,2.0,3.0,3.643856189774725,3.643856189774725,1.3903757990293648,1.0017723668858611,1.2623181125824545,0.6580677752231199,2.0,0.06818181818181818
all_exif_522,patient_group_median,log2_fnumber,0,female,220,220,0,5,0.9183862344463479,0.9183862344463479,0.9183862344463479,0.9183862344463479,0.9183862344463479,0.925999418556223,0.925999418556223,0.9929699447628413,1.0,0.92293754119983,0.0102079830856136,0.007613184109875104,0.0,0.9183862344463479,0.5545454545454546
all_exif_522,patient_group_median,aperture_value_from_f,0,female,220,220,0,5,1.8367724688926959,1.8367724688926959,1.8367724688926959,1.8367724688926959,1.8367724688926959,1.851998837112446,1.851998837112446,1.9859398895256826,2.0,1.84587508239966,0.0204159661712272,0.015226368219750208,0.0,1.8367724688926959,0.5545454545454546
all_exif_522,patient_group_median,time_value_from_t,0,female,220,220,0,25,4.321668433148858,4.643567679616601,4.643567679616601,5.058605178895445,5.643567679616601,5.643856189774724,6.643856189774724,7.394897938537841,8.813781191217037,5.642735216347406,0.7026739788822681,0.5852510108792792,0.5849625007211561,5.058605178895445,0.22272727272727272
all_exif_522,patient_group_median,EV100,0,female,220,220,0,26,6.158440902041554,6.480340148509297,6.480340148509297,6.895377647788141,7.480340148509297,7.49585502688717,8.49585502688717,9.246896775650287,10.665780028329483,7.488610298747067,0.704010181844555,0.6004773790990292,0.5849625007211561,6.895377647788141,0.22272727272727272
all_exif_522,patient_group_median,relative_optical_exposure,0,female,220,220,0,26,-10.665780028329483,-9.246896775650287,-8.49585502688717,-7.49585502688717,-7.480340148509297,-6.895377647788141,-6.480340148509297,-6.480340148509297,-6.158440902041554,-7.488610298747067,0.704010181844555,0.6004773790990292,0.5849625007211561,-7.480340148509297,0.22272727272727272
all_exif_522,patient_group_median,combined_exposure_gain,0,female,220,220,0,149,-9.626872482823785,-9.139711216661896,-8.650158282103888,-6.9595292525919445,-6.067564347038168,-5.16932758527206,-4.218321051358261,-3.272511592664081,-2.6794690970086115,-6.098234499717701,1.362665545642645,1.7902016673198844,0.9028361084938568,-5.49585502688717,0.04090909090909091
all_exif_522,patient_group_median,sensitivity_value,0,female,220,220,0,125,4.0,4.356143810225276,4.678071905112637,5.737681887417546,6.34193222477688,7.0,8.0,8.643856189774725,8.643856189774725,6.390375799029364,1.0017723668858614,1.262318112582454,0.6580677752231203,7.0,0.06818181818181818
all_exif_522,patient_group_median,brightness_apex_pred,0,female,220,220,0,150,-2.320530902991389,-1.727488407335919,-0.7816789486417379,0.16932758527205927,1.0675643470381684,1.959529252591944,3.650158282103888,4.139711216661895,4.626872482823785,1.0982344997177003,1.3626655456426457,1.7902016673198848,0.9028361084938576,0.4958550268871704,0.04090909090909091
all_exif_522,patient_group_median,brightness_residual,0,female,220,220,0,200,-1.527783121774533,-1.2047504457173352,-1.0181867170301648,-0.8568912701653776,5.881348217858743,6.158988045688449,6.372825578573049,6.633465542225225,6.6552837612214235,3.031151863918663,3.4708666880677113,7.015879315853827,0.5627611871701235,6.150843093062903,0.013636363636363636
all_exif_522,patient_group_median,device_centered_brightness,0,female,220,220,0,141,-2.1176470588235285,-1.7589943074003789,-1.1764705882352935,-0.6739631336405529,-0.1440769856329629,0.3614800759013279,1.067172675521821,1.630612632149634,1.7926267281105992,-0.12308090391581859,0.7348492109039924,1.0354432095418808,0.5299539170506912,-0.11764705882352944,0.03636363636363636
all_exif_522,patient_group_median,ExposureTime,1,male,285,285,0,33,0.0024390243902439024,0.003931428571428572,0.007742081447963802,0.01,0.02,0.020004,0.030303030303030304,0.040008,0.040008,0.01867450833302805,0.008773606502981271,0.010004,0.01,0.01,0.24210526315789474
all_exif_522,patient_group_median,FNumber,1,male,285,285,0,4,1.89,1.89,1.89,1.89,1.9,1.9,1.9,2.0,2.0,1.8987894736842108,0.01790107483800395,0.010000000000000009,0.0,1.9,0.5684210526315789
all_exif_522,patient_group_median,ISOSpeedRatings,1,male,285,285,0,111,50.0,50.0,72.2,160.0,219.0,400.0,800.0,1250.0,1600.0,300.38070175438594,239.8782734428617,240.0,101.0,200.0,0.08070175438596491
all_exif_522,patient_group_median,BrightnessValue,1,male,285,285,0,196,-2.67,-2.074,-1.412,0.46,2.3,7.2,9.1,10.416000000000002,10.9,3.5077543859649127,3.68965496249693,6.74,3.08,7.6,0.028070175438596492
all_exif_522,patient_group_median,log2_exposure_time,1,male,285,285,0,33,-8.679480099505446,-7.991944081827348,-7.025772412970661,-6.643856189774724,-5.643856189774724,-5.643567679616601,-5.044394119358453,-4.643567679616601,-4.643567679616601,-5.925614755943676,0.7630135476856532,1.0002885101581231,0.5852510108792792,-6.643856189774724,0.24210526315789474
all_exif_522,patient_group_median,log2_iso_gain,1,male,285,285,0,111,-1.0,-1.0,-0.46995127684487137,0.6780719051126377,1.1043366598147355,1.9634741239748859,3.0,3.643856189774725,4.0,1.2090368918402468,1.0267907548613004,1.2854022188622483,0.6189098326444938,1.0,0.08070175438596491
all_exif_522,patient_group_median,log2_fnumber,1,male,285,285,0,4,0.9183862344463479,0.9183862344463479,0.9183862344463479,0.9183862344463479,0.925999418556223,0.925999418556223,0.925999418556223,1.0,1.0,0.9250179977526073,0.013289328502326801,0.007613184109875104,0.0,0.925999418556223,0.5684210526315789
all_exif_522,patient_group_median,aperture_value_from_f,1,male,285,285,0,4,1.8367724688926959,1.8367724688926959,1.8367724688926959,1.8367724688926959,1.851998837112446,1.851998837112446,1.851998837112446,2.0,2.0,1.8500359955052146,0.026578657004653602,0.015226368219750208,0.0,1.851998837112446,0.5684210526315789
all_exif_522,patient_group_median,time_value_from_t,1,male,285,285,0,33,4.643567679616601,4.643567679616601,5.044394119358453,5.643567679616601,5.643856189774724,6.643856189774724,7.025772412970661,7.991944081827352,8.679480099505446,5.925614755943676,0.7630135476856532,1.0002885101581231,0.5852510108792792,6.643856189774724,0.24210526315789474
all_exif_522,patient_group_median,EV100,1,male,285,285,0,35,6.480340148509297,6.480340148509297,6.895377647788141,7.480340148509297,7.49585502688717,8.49585502688717,8.877771250083107,9.843942918939797,10.53147893661789,7.775650751448892,0.7616134785480464,1.0155148783778731,0.6004773790990292,8.49585502688717,0.24210526315789474
all_exif_522,patient_group_median,relative_optical_exposure,1,male,285,285,0,35,-10.53147893661789,-9.843942918939794,-8.877771250083107,-8.49585502688717,-7.49585502688717,-7.480340148509297,-6.895377647788141,-6.480340148509297,-6.480340148509297,-7.775650751448892,0.7616134785480464,1.0155148783778731,0.6004773790990292,-8.49585502688717,0.24210526315789474
all_exif_522,patient_group_median,combined_exposure_gain,1,male,285,285,0,158,-10.261389773250148,-9.590168936000032,-9.127932478851182,-7.49585502688717,-6.49585502688717,-5.620370600288272,-4.232918105910464,-3.6572219680727858,-3.2525367666961746,-6.566613859608645,1.3958465519543828,1.8754844265988986,1.0,-7.49585502688717,0.05263157894736842
all_exif_522,patient_group_median,sensitivity_value,1,male,285,285,0,111,4.0,4.0,4.5300487231551285,5.678071905112637,6.104336659814735,6.963474123974886,8.0,8.643856189774725,9.0,6.209036891840246,1.0267907548613002,1.2854022188622487,0.6189098326444933,6.0,0.08070175438596491
