cohort,level,variable,camera_id,label_3class,label_3class_name,total_n,n,missing_or_invalid_n,unique_n,min,p1,p5,p25,median,p75,p95,p99,max,mean,std,iqr,mad,mode,mode_proportion
all_exif_522,patient_group_median,ISOSpeedRatings,HONOR/BVL-AN00,1.0,mild,161,161,0,18,50.0,50.0,80.0,200.0,320.0,500.0,1000.0,1250.0,1250.0,400.167701863354,288.901567061016,300.0,160.0,400.0,0.14906832298136646
all_exif_522,patient_group_median,BrightnessValue,HONOR/BVL-AN00,1.0,mild,161,161,0,140,-2.67,-2.5220000000000002,-1.75,-0.72,0.32,1.54,3.15,4.2520000000000024,5.43,0.450248447204969,1.5724442360186257,2.26,1.17,1.28,0.024844720496894408
all_exif_522,patient_group_median,log2_exposure_time,HONOR/BVL-AN00,1.0,mild,161,161,0,25,-8.129283016944967,-7.959007237344612,-7.491853096329675,-6.643856189774724,-5.643856189774724,-5.643856189774724,-5.044394119358453,-4.643856189774724,-4.643856189774724,-6.076723369349594,0.7961715474141617,1.0,0.599462070416271,-6.643856189774724,0.3416149068322981
all_exif_522,patient_group_median,log2_iso_gain,HONOR/BVL-AN00,1.0,mild,161,161,0,18,-1.0,-1.0,-0.3219280948873623,1.0,1.6780719051126378,2.321928094887362,3.321928094887362,3.643856189774725,3.643856189774725,1.6325405959786106,1.0780212814901213,1.3219280948873622,0.6780719051126378,2.0,0.14906832298136646
all_exif_522,patient_group_median,log2_fnumber,HONOR/BVL-AN00,1.0,mild,161,161,0,3,0.925999418556223,0.925999418556223,0.925999418556223,0.925999418556223,0.925999418556223,0.925999418556223,1.0,1.0,1.0,0.9308255434329912,0.01809349910191558,0.0,0.0,0.925999418556223,0.9316770186335404
all_exif_522,patient_group_median,aperture_value_from_f,HONOR/BVL-AN00,1.0,mild,161,161,0,3,1.851998837112446,1.851998837112446,1.851998837112446,1.851998837112446,1.851998837112446,1.851998837112446,2.0,2.0,2.0,1.8616510868659824,0.03618699820383116,0.0,0.0,1.851998837112446,0.9316770186335404
all_exif_522,patient_group_median,time_value_from_t,HONOR/BVL-AN00,1.0,mild,161,161,0,25,4.643856189774724,4.643856189774724,5.044394119358453,5.643856189774724,5.643856189774724,6.643856189774724,7.491853096329675,7.959007237344613,8.129283016944967,6.076723369349594,0.7961715474141617,1.0,0.599462070416271,6.643856189774724,0.3416149068322981
all_exif_522,patient_group_median,EV100,HONOR/BVL-AN00,1.0,mild,161,161,0,27,6.643856189774724,6.643856189774724,6.8963929564708994,7.49585502688717,7.49585502688717,8.49585502688717,9.34385193344212,9.81100607445706,9.981281854057414,7.938374456215575,0.782359086024203,1.0,0.599462070416271,8.49585502688717,0.3416149068322981
all_exif_522,patient_group_median,relative_optical_exposure,HONOR/BVL-AN00,1.0,mild,161,161,0,27,-9.981281854057414,-9.811006074457058,-9.34385193344212,-8.49585502688717,-7.49585502688717,-7.49585502688717,-6.8963929564708994,-6.643856189774724,-6.643856189774724,-7.938374456215575,0.782359086024203,1.0,0.599462070416271,-8.49585502688717,0.3416149068322981
all_exif_522,patient_group_median,combined_exposure_gain,HONOR/BVL-AN00,1.0,mild,161,161,0,55,-9.566244354778568,-9.49585502688717,-8.817783121774532,-7.49585502688717,-6.173926931999808,-5.173926931999809,-4.218321051358261,-3.4456936236285904,-3.2525367666961746,-6.305833860236965,1.4944609589100957,2.3219280948873617,1.0,-5.49585502688717,0.08695652173913043
