cohort,level,variable,scale,total_n,n,missing_or_invalid_n,unique_n,min,p1,p5,p25,median,p75,p95,p99,max,mean,std,iqr,mad,mode,mode_proportion,missing_n,invalid_n
formal_global_meanbg_500,image,ISOSpeedRatings,raw_or_derived,500,500,0,175,50.0,50.0,74.95,160.0,235.5,400.0,800.0,1250.0,1600.0,310.592,241.7020838359929,240.0,100.5,400.0,0.074,0,0
formal_global_meanbg_500,image,BrightnessValue,raw_or_derived,500,500,0,270,-2.67,-2.1208,-1.45,0.39749999999999996,3.255,7.3,9.1,10.201999999999998,10.9,3.7842200000000004,3.7397320201807935,6.9025,3.545,7.2,0.026,0,0
formal_global_meanbg_500,image,log2_exposure_time,log2,500,500,0,36,-8.813781191217037,-7.846692993281552,-6.8803950223744454,-6.643856189774724,-5.643856189774724,-5.058605178895445,-4.643856189774724,-4.643567679616601,-4.321668433148858,-5.813018736435766,0.7502678094142385,1.5852510108792792,0.5852510108792792,-5.643567679616601,0.216,0,0
formal_global_meanbg_500,image,log2_iso_gain,log2,500,500,0,175,-1.0,-1.0,-0.4160057655221903,0.6780719051126377,1.2357238081886956,2.0,3.0,3.643856189774725,4.0,1.2730476102515635,1.023047009464561,1.3219280948873622,0.7006457459550114,2.0,0.074,0,0
formal_global_meanbg_500,image,log2_fnumber,log2,500,500,0,3,0.9183862344463479,0.9183862344463479,0.9183862344463479,0.9183862344463479,0.925999418556223,0.925999418556223,0.925999418556223,1.0,1.0,0.924227688715672,0.012474288802103519,0.007613184109875104,0.0,0.925999418556223,0.51,0,0
formal_global_meanbg_500,image,aperture_value_from_f,raw_or_derived,500,500,0,3,1.8367724688926959,1.8367724688926959,1.8367724688926959,1.8367724688926959,1.851998837112446,1.851998837112446,1.851998837112446,2.0,2.0,1.848455377431344,0.024948577604207038,0.015226368219750208,0.0,1.851998837112446,0.51,0,0
formal_global_meanbg_500,image,time_value_from_t,raw_or_derived,500,500,0,36,4.321668433148858,4.643567679616601,4.643856189774724,5.058605178895445,5.643856189774724,6.643856189774724,6.880395022374444,7.846692993281551,8.813781191217037,5.813018736435766,0.7502678094142385,1.5852510108792792,0.5852510108792792,5.643567679616601,0.216,0,0
formal_global_meanbg_500,image,EV100,raw_or_derived,500,500,0,38,6.158440902041554,6.480340148509297,6.643856189774724,6.8963929564708994,7.49585502688717,8.49585502688717,8.717928809678126,9.698691830393997,10.665780028329483,7.6614741138671105,0.7500700294015717,1.599462070416271,0.6004773790990292,7.480340148509297,0.216,0,0
formal_global_meanbg_500,image,relative_optical_exposure,raw_or_derived,500,500,0,38,-10.665780028329483,-9.698691830393997,-8.717928809678128,-8.49585502688717,-7.49585502688717,-6.8963929564708994,-6.643856189774724,-6.480340148509297,-6.158440902041554,-7.6614741138671105,0.7500700294015717,1.599462070416271,0.6004773790990292,-7.480340148509297,0.216,0,0
formal_global_meanbg_500,image,combined_exposure_gain,raw_or_derived,500,500,0,252,-10.261389773250148,-9.627761487869675,-8.95861850517598,-7.298032718881509,-6.423773293493918,-5.428105226798362,-4.218321051358261,-3.5744648615835373,-2.6794690970086115,-6.3884265036155465,1.4049270290033535,1.8699274920831472,0.9633169235462784,-6.49585502688717,0.048,0,0
formal_global_meanbg_500,image,sensitivity_value,raw_or_derived,500,500,0,175,4.0,4.0,4.583994234477809,5.678071905112637,6.235723808188696,7.0,8.0,8.643856189774725,9.0,6.273047610251563,1.0230470094645614,1.3219280948873626,0.7006457459550113,7.0,0.074,0,0
formal_global_meanbg_500,image,brightness_apex_pred,raw_or_derived,500,500,0,253,-2.320530902991389,-1.4255351384164623,-0.7816789486417379,0.4281052267983627,1.4237732934939178,2.298032718881509,3.9586185051759792,4.627761487869673,5.261389773250148,1.3884265036155468,1.404927029003353,1.8699274920831463,0.9633169235462784,1.4958550268871704,0.048,0,0
formal_global_meanbg_500,image,brightness_residual,raw_or_derived,500,500,0,401,-1.527783121774533,-1.297181405447864,-1.0358550268871705,-0.8982651454963735,-0.7270880391227164,6.152031890900142,6.395933111140416,6.611904984109816,6.908693675880719,2.3957934963844534,3.5008810504039336,7.050297036396516,0.4828397418880952,-0.9839269319998079,0.01,0,0
formal_global_meanbg_500,image,device_centered_brightness,raw_or_derived,500,500,0,269,-2.1176470588235285,-1.4117647058823524,-1.0741935483870968,-0.4716047709406344,0.0,0.47580645161290325,1.2923963133640535,1.79293575494714,2.2442396313364052,0.02125562483057727,0.7376115111692865,0.9474112225535376,0.4746543778801844,-0.11764705882352944,0.026,0,0
formal_global_meanbg_500,patient_group_median,ExposureTime,raw_or_derived,483,483,0,44,0.0022222222222222222,0.004347826086956522,0.00904149090909091,0.010002,0.020004,0.030006,0.04,0.040008,0.050009,0.020205517324606043,0.009057099795854543,0.020004,0.010002,0.020004,0.2194616977225673,0,0
formal_global_meanbg_500,patient_group_median,FNumber,raw_or_derived,483,483,0,5,1.89,1.89,1.89,1.89,1.9,1.9,1.9,2.0,2.0,1.8975983436853001,0.01659651007376313,0.010000000000000009,0.010000000000000009,1.9,0.494824016563147,0,0
formal_global_meanbg_500,patient_group_median,ISOSpeedRatings,raw_or_derived,483,483,0,183,50.0,50.0,76.0,160.0,237.0,400.0,800.0,1250.0,1600.0,311.3312629399586,243.0345756779428,240.0,102.0,400.0,0.06832298136645963,0,0
formal_global_meanbg_500,patient_group_median,BrightnessValue,raw_or_derived,483,483,0,267,-2.67,-2.1344000000000003,-1.448,0.475,3.46,7.35,9.1,10.236,10.9,3.8580434782608695,3.7450246596551566,6.875,3.54,7.2,0.026915113871635612,0,0
formal_global_meanbg_500,patient_group_median,log2_exposure_time,log2,483,483,0,44,-8.813781191217037,-7.845490050944375,-6.7892259838904465,-6.643567679616601,-5.643567679616601,-5.058605178895445,-4.643856189774724,-4.643567679616601,-4.321668433148858,-5.8001248689331675,0.7428304472821708,1.584962500721156,0.5849625007211561,-5.643567679616601,0.2194616977225673,0,0
formal_global_meanbg_500,patient_group_median,log2_iso_gain,log2,483,483,0,183,-1.0,-1.0,-0.3959286763311392,0.6780719051126377,1.2387868595871165,2.0,3.0,3.643856189774725,4.0,1.271670432148637,1.0190166242121474,1.3219280948873622,0.6757776639068231,2.0,0.06832298136645963,0,0
