camera_name,illuminant_name,camera_light_qualified,m,h,observation_space,sigma_max,sigma_min,sigma_ratio,condition_number,numerical_rank,finite,status
Canon 20D,D65,True,0.5,0.35,camera_rgb_wb,0.613480567743,0.0118018256534,0.019237488967,51.9818361802,2,True,PASS
Canon 20D,D65,True,0.5,0.35,linear_srgb_unclipped,0.659071257381,0.0251505880586,0.0381606507292,26.205003869,2,True,PASS
Canon 20D,D65,True,0.5,0.35,chromaticity,0.405683246216,0.026077692957,0.064280921631,15.5567153461,2,True,PASS
Canon 20D,D65,True,0.5,0.5,camera_rgb_wb,0.591549184658,0.0100861953985,0.0170504763764,58.6493877312,2,True,PASS
Canon 20D,D65,True,0.5,0.5,linear_srgb_unclipped,0.640513809345,0.021389747688,0.033394670616,29.9448978401,2,True,PASS
Canon 20D,D65,True,0.5,0.5,chromaticity,0.40541614967,0.0230539778377,0.0568649716012,17.5855183225,2,True,PASS
Canon 20D,D65,True,0.5,0.65,camera_rgb_wb,0.572348070647,0.00877588714897,0.0153331296095,65.2182578161,2,True,PASS
Canon 20D,D65,True,0.5,0.65,linear_srgb_unclipped,0.624217133347,0.018528029847,0.0296820270659,33.6904214048,2,True,PASS
Canon 20D,D65,True,0.5,0.65,chromaticity,0.405131600957,0.0206892151618,0.0510678878491,19.5817771621,2,True,PASS
Canon 20D,D65,True,0.5,0.8,camera_rgb_wb,0.555269352296,0.00774128827722,0.0139415010845,71.7282876457,2,True,PASS
Canon 20D,D65,True,0.5,0.8,linear_srgb_unclipped,0.609674634234,0.0162763791928,0.0266968285686,37.4576327458,2,True,PASS
Canon 20D,D65,True,0.5,0.8,chromaticity,0.404816132963,0.0187793240014,0.0463897618506,21.5564805705,2,True,PASS
Canon 20D,D65,True,0.65,0.2,camera_rgb_wb,0.445009552214,0.0102267840515,0.0229810438914,43.5141242812,2,True,PASS
Canon 20D,D65,True,0.65,0.2,linear_srgb_unclipped,0.504654591884,0.0218071338988,0.0432119993546,23.1417202383,2,True,PASS
Canon 20D,D65,True,0.65,0.2,chromaticity,0.359738160907,0.0282186194756,0.0784421074609,12.7482551447,2,True,PASS
Canon 20D,D65,True,0.65,0.35,camera_rgb_wb,0.428382531749,0.00850353587306,0.0198503329217,50.3769888366,2,True,PASS
Canon 20D,D65,True,0.65,0.35,linear_srgb_unclipped,0.490408012817,0.0180358295835,0.0367771918731,27.1907655008,2,True,PASS
Canon 20D,D65,True,0.65,0.35,chromaticity,0.358629361252,0.0243728761161,0.0679611843019,14.7142815457,2,True,PASS
Canon 20D,D65,True,0.65,0.5,camera_rgb_wb,0.414109346775,0.00724713646782,0.0175005382618,57.1410996073,2,True,PASS
Canon 20D,D65,True,0.65,0.5,linear_srgb_unclipped,0.478097346655,0.0152993432575,0.0320004772346,31.2495339576,2,True,PASS
Canon 20D,D65,True,0.65,0.5,chromaticity,0.357651531612,0.0214973531475,0.060106979133,16.6370031305,2,True,PASS
Canon 20D,D65,True,0.65,0.65,camera_rgb_wb,0.401589007718,0.00628886580902,0.015659955049,63.8571437065,2,True,PASS
Canon 20D,D65,True,0.65,0.65,linear_srgb_unclipped,0.46722777041,0.0132212101357,0.0282971410797,35.3392590856,2,True,PASS
Canon 20D,D65,True,0.65,0.65,chromaticity,0.356734027797,0.0192514039373,0.0539657067652,18.5302863604,2,True,PASS
Canon 20D,D65,True,0.65,0.8,camera_rgb_wb,0.390432031588,0.00553322884684,0.0141720668366,70.5613381256,2,True,PASS
Canon 20D,D65,True,0.65,0.8,linear_srgb_unclipped,0.457479101035,0.0115890474938,0.0253324085571,39.4751252233,2,True,PASS
Canon 20D,D65,True,0.65,0.8,chromaticity,0.355844513045,0.0174399158657,0.0490099333455,20.4040269337,2,True,PASS
Canon 20D,D65,True,0.8,0.2,camera_rgb_wb,0.31889090892,0.00759926362406,0.0238302924652,41.9633960204,2,True,PASS
Canon 20D,D65,True,0.8,0.2,linear_srgb_unclipped,0.383874681647,0.0157572954184,0.0410480195017,24.3617112869,2,True,PASS
Canon 20D,D65,True,0.8,0.2,chromaticity,0.317139292372,0.0255333796223,0.0805115614383,12.4205764009,2,True,PASS
Canon 20D,D65,True,0.8,0.35,camera_rgb_wb,0.307791107492,0.00630696980007,0.0204910721803,48.801741129,2,True,PASS
Canon 20D,D65,True,0.8,0.35,linear_srgb_unclipped,0.374063095353,0.0130037131292,0.0347634217082,28.7658679975,2,True,PASS
Canon 20D,D65,True,0.8,0.35,chromaticity,0.31518880763,0.0220223392069,0.0698703084428,14.3122310791,2,True,PASS
Canon 20D,D65,True,0.8,0.5,camera_rgb_wb,0.298238526931,0.00536557002626,0.0179908681868,55.58375447,2,True,PASS
Canon 20D,D65,True,0.8,0.5,linear_srgb_unclipped,0.365528754815,0.0110094363929,0.0301192074438,33.2014048466,2,True,PASS
Canon 20D,D65,True,0.8,0.5,chromaticity,0.313509086527,0.0193965600565,0.0618692117394,16.1631281842,2,True,PASS
Canon 20D,D65,True,0.8,0.65,camera_rgb_wb,0.289839228416,0.00464816638569,0.0160370506473,62.3556052789,2,True,PASS
Canon 20D,D65,True,0.8,0.65,linear_srgb_unclipped,0.357949229203,0.00949742838671,0.0265328924101,37.6890685171,2,True,PASS
Canon 20D,D65,True,0.8,0.65,chromaticity,0.311986290136,0.0173460930558,0.0555988952215,17.9859688941,2,True,PASS
Canon 20D,D65,True,0.8,0.8,camera_rgb_wb,0.282337875132,0.0040829471129,0.0144612093258,69.1505099932,2,True,PASS
Canon 20D,D65,True,0.8,0.8,linear_srgb_unclipped,0.351115365931,0.00831165373076,0.0236721446489,42.2437432194,2,True,PASS
Canon 20D,D65,True,0.8,0.8,chromaticity,0.310563353102,0.0156930175662,0.0505308092839,19.7899066762,2,True,PASS
Canon 300D,D65,True,0.2,0.2,camera_rgb_wb,1.46134393161,0.0246318037031,0.0168555828442,59.3275242536,2,True,PASS
Canon 300D,D65,True,0.2,0.2,linear_srgb_unclipped,1.43286094759,0.0532881871182,0.0371900617487,26.8889039969,2,True,PASS
Canon 300D,D65,True,0.2,0.2,chromaticity,0.529646375206,0.0246435423166,0.0465282941039,21.49229881,2,True,PASS
Canon 300D,D65,True,0.2,0.35,camera_rgb_wb,1.39383927994,0.0208510470237,0.0149594342216,66.8474479174,2,True,PASS
Canon 300D,D65,True,0.2,0.35,linear_srgb_unclipped,1.37163132424,0.0447674099523,0.0326380778574,30.6390592108,2,True,PASS
Canon 300D,D65,True,0.2,0.35,chromaticity,0.529177227005,0.0215757515276,0.0407722600795,24.5264794753,2,True,PASS
Canon 300D,D65,True,0.2,0.5,camera_rgb_wb,1.33638871978,0.0180550671275,0.0135103408613,74.0173775232,2,True,PASS
Canon 300D,D65,True,0.2,0.5,linear_srgb_unclipped,1.31961971253,0.0384979254638,0.0291734998336,34.2776837096,2,True,PASS
Canon 300D,D65,True,0.2,0.5,chromaticity,0.528908097017,0.0192529834346,0.0364013777502,27.4714876691,2,True,PASS
Canon 300D,D65,True,0.2,0.65,camera_rgb_wb,1.28638399019,0.0158967658102,0.012357714284,80.921113486,2,True,PASS
Canon 300D,D65,True,0.2,0.65,linear_srgb_unclipped,1.27441974779,0.0336806246534,0.0264282036683,37.8383643682,2,True,PASS
Canon 300D,D65,True,0.2,0.65,chromaticity,0.528743594013,0.0174193595517,0.0329448143655,30.353790703,2,True,PASS
Canon 300D,D65,True,0.2,0.8,camera_rgb_wb,1.24213899224,0.0141767064355,0.0114131401751,87.6183052739,2,True,PASS
Canon 300D,D65,True,0.2,0.8,linear_srgb_unclipped,1.23447767342,0.0298577806079,0.0241865699564,41.3452590344,2,True,PASS
Canon 300D,D65,True,0.2,0.8,chromaticity,0.528633944105,0.0159262433489,0.0301271674407,33.1926325954,2,True,PASS
Canon 300D,D65,True,0.35,0.2,camera_rgb_wb,0.934593973235,0.0164097961255,0.0175582088003,56.9534177076,2,True,PASS
Canon 300D,D65,True,0.35,0.2,linear_srgb_unclipped,0.952000442663,0.0370546544353,0.0389229382411,25.691791144,2,True,PASS
Canon 300D,D65,True,0.35,0.2,chromaticity,0.479275188901,0.0252928891211,0.0527732077662,18.9490092099,2,True,PASS
Canon 300D,D65,True,0.35,0.35,camera_rgb_wb,0.894712459163,0.0137537381839,0.0153722439461,65.0523113934,2,True,PASS
Canon 300D,D65,True,0.35,0.35,linear_srgb_unclipped,0.916641087477,0.0309054835475,0.0337160137918,29.6594967061,2,True,PASS
Canon 300D,D65,True,0.35,0.35,chromaticity,0.478528597841,0.0219916344232,0.0459567819403,21.7595740559,2,True,PASS
Canon 300D,D65,True,0.35,0.5,camera_rgb_wb,0.860639502757,0.0118095863898,0.0137218735045,72.8763459065,2,True,PASS
Canon 300D,D65,True,0.35,0.5,linear_srgb_unclipped,0.886432635345,0.0264147809921,0.0297989716747,33.5582049917,2,True,PASS
Canon 300D,D65,True,0.35,0.5,chromaticity,0.477934965393,0.0195107196675,0.040822959357,24.4960192929,2,True,PASS
