m,h,shading,specular,illuminant_name,deltae00
0.0,0.8,1.5,0.03,FL11,0.144500489516
0.0,0.8,1.5,0.1,D65,0.0850911487721
0.0,0.8,1.5,0.1,A,0.0393953709419
0.0,0.8,1.5,0.1,FL2,0.0474255500622
0.0,0.8,1.5,0.1,FL11,0.13903128646
0.0,0.9,0.5,0.0,D65,0.0689906298978
0.0,0.9,0.5,0.0,A,0.0323919265491
0.0,0.9,0.5,0.0,FL2,0.0387526119063
0.0,0.9,0.5,0.0,FL11,0.119674619632
0.0,0.9,0.5,0.03,D65,0.0640583216753
0.0,0.9,0.5,0.03,A,0.0303260475207
0.0,0.9,0.5,0.03,FL2,0.0359558581103
0.0,0.9,0.5,0.03,FL11,0.113001976365
0.0,0.9,0.5,0.1,D65,0.0554914762783
0.0,0.9,0.5,0.1,A,0.026824859086
0.0,0.9,0.5,0.1,FL2,0.0310260107562
0.0,0.9,0.5,0.1,FL11,0.100782395423
0.0,0.9,1.0,0.0,D65,0.0826282761973
0.0,0.9,1.0,0.0,A,0.0380386091083
0.0,0.9,1.0,0.0,FL2,0.0460196900898
0.0,0.9,1.0,0.0,FL11,0.135955383087
0.0,0.9,1.0,0.03,D65,0.0797174483071
0.0,0.9,1.0,0.03,A,0.03672614996
0.0,0.9,1.0,0.03,FL2,0.0445045877519
0.0,0.9,1.0,0.03,FL11,0.132331596579
0.0,0.9,1.0,0.1,D65,0.0738734730386
0.0,0.9,1.0,0.1,A,0.0342007021158
0.0,0.9,1.0,0.1,FL2,0.0413538855987
0.0,0.9,1.0,0.1,FL11,0.125028840385
0.0,0.9,1.5,0.0,D65,0.0911329110621
0.0,0.9,1.5,0.0,A,0.0419128974426
0.0,0.9,1.5,0.0,FL2,0.0501678733001
0.0,0.9,1.5,0.0,FL11,0.146555732598
0.0,0.9,1.5,0.03,D65,0.0890788425061
0.0,0.9,1.5,0.03,A,0.0409070857294
0.0,0.9,1.5,0.03,FL2,0.0491980152439
0.0,0.9,1.5,0.03,FL11,0.143797134269
0.0,0.9,1.5,0.1,D65,0.0847242515887
0.0,0.9,1.5,0.1,A,0.0388501864709
0.0,0.9,1.5,0.1,FL2,0.0470561523818
0.0,0.9,1.5,0.1,FL11,0.138149312712
0.0,1.0,0.5,0.0,D65,0.0689041071082
0.0,1.0,0.5,0.0,A,0.0320492301581
0.0,1.0,0.5,0.0,FL2,0.038558548193
0.0,1.0,0.5,0.0,FL11,0.119223056915
0.0,1.0,0.5,0.03,D65,0.063915249446
0.0,1.0,0.5,0.03,A,0.0299751334128
0.0,1.0,0.5,0.03,FL2,0.0357438588924
0.0,1.0,0.5,0.03,FL11,0.112542962284
0.0,1.0,0.5,0.1,D65,0.0553004004652
0.0,1.0,0.5,0.1,A,0.026498873635
0.0,1.0,0.5,0.1,FL2,0.0308029125727
0.0,1.0,0.5,0.1,FL11,0.100370710088
0.0,1.0,1.0,0.0,D65,0.0823379359221
0.0,1.0,1.0,0.0,A,0.0375837777954
0.0,1.0,1.0,0.0,FL2,0.0456800032338
0.0,1.0,1.0,0.0,FL11,0.135236974329
0.0,1.0,1.0,0.03,D65,0.0793973590301
0.0,1.0,1.0,0.03,A,0.0362564353237
0.0,1.0,1.0,0.03,FL2,0.0441638838366
0.0,1.0,1.0,0.03,FL11,0.131533371775
0.0,1.0,1.0,0.1,D65,0.0735165213492
0.0,1.0,1.0,0.1,A,0.0337201395006
0.0,1.0,1.0,0.1,FL2,0.0410144211772
0.0,1.0,1.0,0.1,FL11,0.124166587872
0.0,1.0,1.5,0.0,D65,0.0906968577061
0.0,1.0,1.5,0.0,A,0.0413917445667
0.0,1.0,1.5,0.0,FL2,0.0497212081123
0.0,1.0,1.5,0.0,FL11,0.145928351375
0.0,1.0,1.5,0.03,D65,0.0886207627491
0.0,1.0,1.5,0.03,A,0.0403756535584
0.0,1.0,1.5,0.03,FL2,0.0487527117817
0.0,1.0,1.5,0.03,FL11,0.143063842368
0.0,1.0,1.5,0.1,D65,0.0842343681263
0.0,1.0,1.5,0.1,A,0.0383033597817
0.0,1.0,1.5,0.1,FL2,0.0466176379466
0.0,1.0,1.5,0.1,FL11,0.137237465008
0.1,0.0,0.5,0.0,D65,0.0392768839853
0.1,0.0,0.5,0.0,A,0.0234004967676
0.1,0.0,0.5,0.0,FL2,0.0115525974233
0.1,0.0,0.5,0.0,FL11,0.0772588089708
0.1,0.0,0.5,0.03,D65,0.0367846395636
0.1,0.0,0.5,0.03,A,0.0217568003795
0.1,0.0,0.5,0.03,FL2,0.0108427534466
0.1,0.0,0.5,0.03,FL11,0.0741359020917
0.1,0.0,0.5,0.1,D65,0.032118874018
0.1,0.0,0.5,0.1,A,0.0188498265466
