case_id,model,channel,orientation,position,seam_abs_first_difference,matched_local_reference_difference,seam_amplification_ratio,valid_pair_count
101295911,B1_baseline,H_sensitive,vertical,723,0.02118581533432007,0.003645986318588257,5.8107226624790504,935
101295911,B1_baseline,H_sensitive,horizontal,241,0.03132173418998718,0.003373265266418457,9.2852864233703,816
101295911,B1_baseline,H_sensitive,horizontal,482,0.01740363985300064,0.005758345127105713,3.0223335812325316,572
101295911,B1_baseline,H_sensitive,horizontal,723,0.021459177136421204,0.0034457743167877197,6.2276792260145974,870
101295911,B1_baseline,H_sensitive,horizontal,964,0.06566867232322693,0.00405990332365036,16.174934985399517,405
101295911,B2_proposed_lambda_0p50,M_sensitive,vertical,241,0.014093667268753052,0.0034990310668945312,4.027877145210265,938
101295911,B2_proposed_lambda_0p50,M_sensitive,vertical,482,0.018724195659160614,0.003128647804260254,5.984756618395741,1032
101295911,B2_proposed_lambda_0p50,M_sensitive,vertical,723,0.01844632625579834,0.0032424628734588623,5.6889861102501795,935
101295911,B2_proposed_lambda_0p50,M_sensitive,horizontal,241,0.03017895668745041,0.002004370093345642,15.056579008330695,816
101295911,B2_proposed_lambda_0p50,M_sensitive,horizontal,482,0.02423841506242752,0.00593915581703186,4.081121257811979,572
101295911,B2_proposed_lambda_0p50,M_sensitive,horizontal,723,0.012186869978904724,0.004190772771835327,2.908024519463393,870
101295911,B2_proposed_lambda_0p50,M_sensitive,horizontal,964,0.017110079526901245,0.0048789530992507935,3.506916171426557,405
101295911,B2_proposed_lambda_0p50,H_sensitive,vertical,241,0.020064756274223328,0.0016389042139053345,12.242787645391648,938
101295911,B2_proposed_lambda_0p50,H_sensitive,vertical,482,0.016652710735797882,0.0014788135886192322,11.2608586049616,1032
101295911,B2_proposed_lambda_0p50,H_sensitive,vertical,723,0.012608200311660767,0.0015069544315338135,8.366676549377255,935
101295911,B2_proposed_lambda_0p50,H_sensitive,horizontal,241,0.018954314291477203,0.002380058169364929,7.963802955526494,816
101295911,B2_proposed_lambda_0p50,H_sensitive,horizontal,482,0.02401334047317505,0.002483755350112915,9.668158525522736,572
101295911,B2_proposed_lambda_0p50,H_sensitive,horizontal,723,0.00983487069606781,0.002187475562095642,4.495991115050369,870
101295911,B2_proposed_lambda_0p50,H_sensitive,horizontal,964,0.032227903604507446,0.0027680695056915283,11.642736400440722,405
101377780,B1_baseline,M_sensitive,vertical,241,0.025178343057632446,0.004124633967876434,6.1043824125055925,877
101377780,B1_baseline,M_sensitive,vertical,482,0.02426925301551819,0.0026177912950515747,9.270889185140009,1054
101377780,B1_baseline,M_sensitive,vertical,723,0.015742383897304535,0.004790738224983215,3.2860037753521136,916
101377780,B1_baseline,M_sensitive,horizontal,241,0.008562788367271423,0.003109447658061981,2.753797235440373,895
101377780,B1_baseline,M_sensitive,horizontal,482,0.031626999378204346,0.0048809051513671875,6.479740620008889,627
101377780,B1_baseline,M_sensitive,horizontal,723,0.02661646157503128,0.0036974549293518066,7.198589861512867,830
101377780,B1_baseline,M_sensitive,horizontal,964,0.016615912318229675,0.006970241665840149,2.383835900163594,347
