ID,Make,Model,camera_id,variable,value,iqr_lower,iqr_upper,iqr_outlier,robust_z,mad_outlier_abs_z_gt_3_5,historical_high_iso_outlier
9300298484,Xiaomi,M2006J10C,Xiaomi/M2006J10C,EV100,8.48019591506345,6.017933896706407,8.35778389959103,True,1.1528815357972761,False,False
9300706043,Xiaomi,M2006J10C,Xiaomi/M2006J10C,EV100,8.480340148509297,6.017933896706407,8.35778389959103,True,1.153047843861024,False,False
9300858338,Xiaomi,M2006J10C,Xiaomi/M2006J10C,EV100,8.480340148509297,6.017933896706407,8.35778389959103,True,1.153047843861024,False,False
A000327597,Xiaomi,M2006J10C,Xiaomi/M2006J10C,EV100,8.48019591506345,6.017933896706407,8.35778389959103,True,1.1528815357972761,False,False
A001534217,Xiaomi,M2006J10C,Xiaomi/M2006J10C,EV100,8.48019591506345,6.017933896706407,8.35778389959103,True,1.1528815357972761,False,False
A001545475,Xiaomi,M2006J10C,Xiaomi/M2006J10C,EV100,8.48019591506345,6.017933896706407,8.35778389959103,True,1.1528815357972761,False,False
A001570399,Xiaomi,M2006J10C,Xiaomi/M2006J10C,EV100,8.480340148509297,6.017933896706407,8.35778389959103,True,1.153047843861024,False,False
A001601356,Xiaomi,M2006J10C,Xiaomi/M2006J10C,EV100,8.480340148509297,6.017933896706407,8.35778389959103,True,1.153047843861024,False,False
A001602118,Xiaomi,M2006J10C,Xiaomi/M2006J10C,EV100,8.480340148509297,6.017933896706407,8.35778389959103,True,1.153047843861024,False,False
A001604205,Xiaomi,M2006J10C,Xiaomi/M2006J10C,EV100,8.480340148509297,6.017933896706407,8.35778389959103,True,1.153047843861024,False,False
A001616193,Xiaomi,M2006J10C,Xiaomi/M2006J10C,EV100,8.48019591506345,6.017933896706407,8.35778389959103,True,1.1528815357972761,False,False
A001623880,Xiaomi,M2006J10C,Xiaomi/M2006J10C,EV100,8.626872482823785,6.017933896706407,8.35778389959103,True,1.3220066359982667,False,False
A001635014,Xiaomi,M2006J10C,Xiaomi/M2006J10C,EV100,8.48019591506345,6.017933896706407,8.35778389959103,True,1.1528815357972761,False,False
A001657263,Xiaomi,M2006J10C,Xiaomi/M2006J10C,EV100,8.480340148509297,6.017933896706407,8.35778389959103,True,1.153047843861024,False,False
A001660452,Xiaomi,M2006J10C,Xiaomi/M2006J10C,EV100,8.715772987412716,6.017933896706407,8.35778389959103,True,1.424513171132691,False,False
A001677153,Xiaomi,M2006J10C,Xiaomi/M2006J10C,EV100,8.480340148509297,6.017933896706407,8.35778389959103,True,1.153047843861024,False,False
A001692604,Xiaomi,M2006J10C,Xiaomi/M2006J10C,EV100,8.480340148509297,6.017933896706407,8.35778389959103,True,1.153047843861024,False,False
101737098,Xiaomi,M2006J10C,Xiaomi/M2006J10C,relative_optical_exposure,-8.48019591506345,-8.35778389959103,-6.017933896706407,True,-1.1528815357972761,False,False
201999677,Xiaomi,M2006J10C,Xiaomi/M2006J10C,relative_optical_exposure,-8.48019591506345,-8.35778389959103,-6.017933896706407,True,-1.1528815357972761,False,False
202045494,Xiaomi,M2006J10C,Xiaomi/M2006J10C,relative_optical_exposure,-8.48019591506345,-8.35778389959103,-6.017933896706407,True,-1.1528815357972761,False,False
203807236,Xiaomi,M2006J10C,Xiaomi/M2006J10C,relative_optical_exposure,-8.480340148509297,-8.35778389959103,-6.017933896706407,True,-1.153047843861024,False,False
205292128,Xiaomi,M2006J10C,Xiaomi/M2006J10C,relative_optical_exposure,-8.48019591506345,-8.35778389959103,-6.017933896706407,True,-1.1528815357972761,False,False
