fold,split_role,target,valid_n,representation,scope,camera_id,condition,spearman_rho
1,train,cheek_mean_log2_y,400,raw,overall,ALL,log2_iso_condition,0.28104347250404332
1,train,cheek_mean_log2_y,212,raw,camera_id,HONOR/BVL-AN00,relative_optical_exposure,0.094028657555913997
1,train,cheek_mean_log2_y,212,raw,camera_id,HONOR/BVL-AN00,log2_iso_condition,0.37277415702104888
1,train,cheek_mean_log2_y,188,raw,camera_id,Xiaomi/M2006J10C,relative_optical_exposure,-0.20620527505786401
1,train,cheek_mean_log2_y,188,raw,camera_id,Xiaomi/M2006J10C,log2_iso_condition,-0.27155427957200218
1,train,cheek_mean_log2_y,400,residual_nn,overall,ALL,relative_optical_exposure,-0.0080167925386956003
1,train,cheek_mean_log2_y,400,residual_nn,overall,ALL,log2_iso_condition,-0.016861086527174999
1,train,cheek_mean_log2_y,212,residual_nn,camera_id,HONOR/BVL-AN00,relative_optical_exposure,-0.0069977874107894
1,train,cheek_mean_log2_y,212,residual_nn,camera_id,HONOR/BVL-AN00,log2_iso_condition,0.037047864130956697
1,train,cheek_mean_log2_y,188,residual_nn,camera_id,Xiaomi/M2006J10C,relative_optical_exposure,-0.047754572788121799
1,train,cheek_mean_log2_y,188,residual_nn,camera_id,Xiaomi/M2006J10C,log2_iso_condition,-0.033276608091476201
1,train,cheek_mean_log2_y,400,calibrated_nn,overall,ALL,relative_optical_exposure,-0.0080167925386956003
1,train,cheek_mean_log2_y,400,calibrated_nn,overall,ALL,log2_iso_condition,-0.016861086527174999
1,train,cheek_mean_log2_y,212,calibrated_nn,camera_id,HONOR/BVL-AN00,relative_optical_exposure,-0.0069977874107894
