fold,target,representation,HONOR/BVL-AN00_valid_n,HONOR/BVL-AN00_mean,HONOR/BVL-AN00_median,HONOR/BVL-AN00_std,Xiaomi/M2006J10C_valid_n,Xiaomi/M2006J10C_mean,Xiaomi/M2006J10C_median,Xiaomi/M2006J10C_std,mean_difference_honor_minus_xiaomi,median_difference_honor_minus_xiaomi,pooled_std,standardized_mean_difference
0,forehead_minus_cheek_log2_y,stage2a_ridge_calibrated,46,0.02612533447229843,0.014211544644286551,0.24249493414771797,50,0.11319843297830155,0.1268944986708069,0.30724632220631404,-0.087073098506003116,-0.11268295402652036,0.27813561501397072,-0.31305986650299872
0,forehead_minus_cheek_log2_y,stage2b_mlp_calibrated,46,0.03399374673608864,0.01116860951913095,0.24045638406711115,50,0.10620687730485633,0.10710947132970661,0.30783859233823546,-0.072213130568767686,-0.095940861810575651,0.27762926099012741,-0.26010633861585508
0,forehead_minus_cheek_log2_rg,raw,46,-0.035812006434506459,-0.033680590485653847,0.10661333165746302,50,-0.093165839774679085,-0.1000847255939616,0.12259290655378026,0.057353833340172626,0.066404135108307755,0.11521996207290054,0.49777688091829453
0,forehead_minus_cheek_log2_rg,stage2a_ridge_calibrated,46,-0.06440185397163567,-0.065154660375221454,0.10379509451951238,50,-0.056046758090986269,-0.063131694440367259,0.12271378889724001,-0.0083550958806494005,-0.0020229659348541956,0.11404921480484025,-0.073258688321059889
0,forehead_minus_cheek_log2_rg,stage2b_mlp_calibrated,46,-0.066607738455001092,-0.063512631277699849,0.10368145941911881,50,-0.053078085139139294,-0.051536248493275552,0.12353584438070403,-0.013529653315861798,-0.011976382784424297,0.11446160573985616,-0.11820254685760273
0,forehead_minus_cheek_log2_bg,raw,46,-0.11857640291531955,-0.1182252860630888,0.11041523265948619,50,-0.19036453691228675,-0.20584805941662304,0.09005609659549367,0.071788133996967193,0.087622773353534245,0.1003193564568953,0.71559603781761449
0,forehead_minus_cheek_log2_bg,stage2a_ridge_calibrated,46,-0.15015033504112935,-0.14520926701671272,0.11223869022023403,50,-0.15030739976467378,-0.15598640077937601,0.087563330512795606,0.00015706472354443113,0.010777133762663288,0.10013756850644907,0.0015684894878820212
0,forehead_minus_cheek_log2_bg,stage2b_mlp_calibrated,46,-0.15233056952161803,-0.14662378696631506,0.11335384131940682,50,-0.14810960927003641,-0.15925566350517356,0.087608442891493027,-0.0042209602515816125,0.0126318765388585,0.10075755208544791,-0.041892246925590328
1,cheek_mean_log2_y,raw,55,-1.7674238632080459,-1.7625951670068418,0.22008504808194798,45,-2.2472357407883377,-2.2500877543000994,0.43927875647864456,0.47981187758029176,0.48749258729325762,0.33664184129350638,1.4252888937889345
1,cheek_mean_log2_y,stage2a_ridge_calibrated,55,-2.0503900269219986,-2.0331816851510842,0.20285855210342488,45,-1.9375505096513213,-1.9108461056632984,0.4358434669182899,-0.11283951727067731,-0.12233557948778584,0.32857772033659982,-0.34341804171957507
