high_clip_element_fraction,low_clip_element_fraction,nonfinite_count,all_zero,all_one,R_zero_fraction,R_one_fraction,G_zero_fraction,G_one_fraction,B_zero_fraction,B_one_fraction,attempt,appearance_seed,exposure_ev,canonical_unclipped_hash
0.0,0.1672678970917226,0,False,False,0.0,0.0,0.0,0.0,0.5014681208053692,0.0,102,16737305745614947825,0.1300288124071014,daae4aa25f72eaadee83d21ba382c68f0832f2061c4262bb2b7a4ac68280711d
0.0,0.11756152125279642,0,False,False,0.0,0.0,0.0,0.0,0.3524748322147651,0.0,103,5774585154707152985,0.028591012364879487,53643c425f4cea12b56e1392bf048791930d84c79f92ed9249e63561cde5a386
0.0,0.16749161073825503,0,False,False,0.0,0.0,0.0,0.0,0.5019714765100671,0.0,104,6664324910807155473,-0.3149074826305205,50a8888308b40d392ca5d6702395ee8909ecf253fc065168056c7cc3ed6c54b2
0.0,0.13022930648769576,0,False,False,0.0,0.0,0.0,0.0,0.3902265100671141,0.0,105,15148995781960539670,-0.14279312117474313,62b7e969acd85059b8a932c837f5a614faa8947d000851ec6b8e74938bc29e08
0.0,0.13797539149888144,0,False,False,0.0,0.0,0.0,0.0,0.41317114093959734,0.0,106,4648225013457620930,-0.45374471665118493,c48b835bca096e8f9c6b706afe3a50567380b8cdf25d4b3b29552084e8b9ed6b
0.0,0.16750559284116331,0,False,False,0.0,0.0,0.0,0.0,0.5019714765100671,0.0,107,15742026518185307853,-0.49593171727356605,9abb96aa3b90582820608041f9997889a17c839be12e92eea6e247fc35394495
0.0,0.16751957494407158,0,False,False,0.0,0.0,0.0,0.0,0.5019714765100671,0.0,108,16170341867674395723,-0.47023437299145165,1d2baa7b53bf718cdececdfb5a6e5956ee452f7bd8c4f3b3217766e1729e419f
0.0,0.1558165548098434,0,False,False,0.0,0.0,0.0,0.0,0.4671140939597315,0.0,109,9550323575243153857,0.3079559180054884,b4b4a9d0a93b11e8a89348a861633bc4290f780f795a6f0da4019e3905f290e1
0.0,0.1511884787472036,0,False,False,0.0,0.0,0.0,0.0,0.45331375838926175,0.0,110,13456512294698141575,0.2660167030895747,469bca30c509f0543d01fc9fc21f9ef3e3ebc4ceaa10035392aa58506dd6e681
0.0,0.16746364653243848,0,False,False,0.0,0.0,0.0,0.0,0.5019714765100671,0.0,111,14591346342166642089,-0.06476922337179358,69bdb75621bc3a270ffc79328be7599b7bb5f10cc78acb70fc4bcad7c4746682
0.0,0.14442114093959732,0,False,False,0.0,0.0,0.0,0.0,0.4328439597315436,0.0,112,8129147574448182718,-0.13005541112017127,491cc0d9c6f25ead175cfe979fccc7484327f437562c303d610af832e04e7afd
0.0,0.16749161073825503,0,False,False,0.0,0.0,0.0,0.0,0.5019714765100671,0.0,113,16339275130239432336,-0.34601682935772815,4f4db180db4038cb83cf033de0c6312dc85fd191972f9989aa259f52dc24232b
0.0,0.140170581655481,0,False,False,0.0,0.0,0.0,0.0,0.42026006711409397,0.0,114,18331495919500089146,0.26508519398360875,e4205fc67541880e0fdf95a25d87e2ce6bda431a5983568f17eed136523a0ecf
