camera_name,illuminant_name,matrix_rank,condition_number,matrix_3x3,training_deltae00_median,training_deltae00_p95,loocv_deltae00_median,loocv_deltae00_p95,negative_linear_srgb_rate,out_of_gamut_rate,finite,qualification_status,failure_reasons
Canon 20D,FL2,3,11.0907410997,0.762517260795 0.307708025921 0.0863262831836 0.135434635343 0.768796140782 -0.220019299723 0.0881221239527 -0.0796729501347 0.797230966037,0.872113561254,2.65507871882,0.956540729168,2.93280360631,0.0277777777778,0.0277777777778,True,PASS,
Canon 300D,FL2,3,10.9529270935,0.728933076734 0.325895328592 0.0663839400685 0.177923108297 0.813073032617 -0.213724131543 0.0828652777778 -0.143031599799 0.822450935085,0.61368483635,1.75737280525,0.69544069861,1.93966328777,0.0277777777778,0.0277777777778,True,PASS,
Canon 40D,FL2,3,11.6424086186,0.766002292439 0.304416340227 0.0751199321806 0.122887549037 0.788864884834 -0.253595853312 0.0966324382185 -0.0973067514193 0.843525623389,0.667750290157,1.79953255049,0.811050682693,2.0204494808,0.0138888888889,0.0138888888889,True,PASS,
Canon 500D,FL2,3,16.064449216,0.966200826815 0.351012087562 0.0478871381019 -0.134517839797 0.794475942922 -0.423489656548 0.157149196924 -0.148866617841 1.04444621554,0.415201021465,1.28575650868,0.489113423196,1.41466754894,0.0138888888889,0.0138888888889,True,PASS,
Canon 50D,FL2,3,14.863310305,0.903099661385 0.326782963891 0.0360616721453 -0.0454772034698 0.809368257937 -0.381751431143 0.129772423108 -0.140156561883 1.01436115132,0.451959819006,1.26805466906,0.585622298064,1.38454650606,0.0138888888889,0.0138888888889,True,PASS,
Canon 5DMarkII,FL2,3,12.8746317799,0.851528564582 0.324626383034 0.0845841623201 0.0211441245536 0.765504880659 -0.240734644249 0.114782496303 -0.0936297427913 0.823858980893,0.524571085427,1.39684990118,0.706556139943,1.67153758043,0.0138888888889,0.0138888888889,True,PASS,
Canon 600D,FL2,3,13.0754742902,0.819811142129 0.304698742575 0.078005911486 0.0555386748477 0.80836660079 -0.290691341297 0.112008609925 -0.116475845978 0.879253351412,0.455774708111,1.33333529254,0.573584158715,1.597902821,0.0138888888889,0.0138888888889,True,PASS,
Canon 60D,FL2,3,12.7431258391,0.812395748337 0.307222273242 0.0677652888783 0.0666206153108 0.801141709242 -0.26723849919 0.108626732787 -0.111958261431 0.868198567717,0.40090121675,1.19529438929,0.524229350175,1.4324694458,0.0138888888889,0.0138888888889,True,PASS,
Hasselblad H2,FL2,3,9.32619263105,0.65062263989 0.286863798828 0.058770319536 0.289466592102 0.797122848391 -0.288152813351 0.0430030214268 -0.0891757676356 0.902739576126,1.32081124473,3.96883760632,1.47722116787,4.48511058487,0.0277777777778,0.0277777777778,True,PASS,
Nikon D3X,FL2,3,9.82108638911,0.68247201488 0.297645697517 0.052109627995 0.267138743822 0.829041527124 -0.16994787093 0.036910336839 -0.13038374817 0.785342543593,0.658160829731,2.15172113962,0.729966264016,2.36170844379,0.0138888888889,0.0138888888889,True,PASS,
